 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.5650 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .14973E+06 A
 Total NBCD Efficiency     =   .32800E-01 A/W
 Total Beam Beta           =   .20239E-02
 Taus                      =   .18422E-02 s
 Volp                      =   .17944E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .45650E+01
 Lost Power          .00000E+00
 NB driven current   .14973E+06
 NBCD efficiency     .32800E-01
 NBCD gamma          .17919E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .37451E-03 MW
 Total Power to Charged Particles =   .24711E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .32455E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .58506   .57070E+00   .49562E+00   .48034E+00
   .59700   .00000E+00   .00000E+00   .00000E+00

   rho     jnbtot      pNBe        pNBi        nbfast      pressb      pfusb      dvol      dA
  .0000   .3077E+06   .4515E+00   .8640E+00   .6025E+19   .2356E+05   .1980E-03   .1492E-02   .1397E-03
  .0200   .8185E+06   .9179E+00   .1751E+01   .1224E+20   .4783E+05   .3996E-03   .1194E-01   .1118E-02
  .0400   .5916E+06   .6076E+00   .1155E+01   .8090E+19   .3160E+05   .2622E-03   .2389E-01   .2237E-02
  .0600   .5573E+06   .5401E+00   .1020E+01   .7174E+19   .2799E+05   .2305E-03   .3586E-01   .3359E-02
  .0800   .5440E+06   .5054E+00   .9470E+00   .6688E+19   .2606E+05   .2124E-03   .4788E-01   .4485E-02
  .1000   .5333E+06   .4801E+00   .8898E+00   .6323E+19   .2458E+05   .1981E-03   .5995E-01   .5615E-02
  .1200   .5207E+06   .4579E+00   .8378E+00   .5998E+19   .2326E+05   .1851E-03   .7208E-01   .6752E-02
  .1400   .5050E+06   .4368E+00   .7877E+00   .5683E+19   .2197E+05   .1728E-03   .8430E-01   .7896E-02
  .1600   .4861E+06   .4159E+00   .7379E+00   .5371E+19   .2069E+05   .1609E-03   .9660E-01   .9049E-02
  .1800   .4649E+06   .3950E+00   .6886E+00   .5057E+19   .1941E+05   .1492E-03   .1090E+00   .1021E-01
  .2000   .4419E+06   .3741E+00   .6398E+00   .4744E+19   .1813E+05   .1377E-03   .1216E+00   .1139E-01
  .2200   .3510E+06   .2975E+00   .4991E+00   .3735E+19   .1420E+05   .1065E-03   .1342E+00   .1257E-01
  .2400   .3032E+06   .2579E+00   .4235E+00   .3201E+19   .1210E+05   .8965E-04   .1470E+00   .1377E-01
  .2600   .2699E+06   .2309E+00   .3708E+00   .2830E+19   .1063E+05   .7776E-04   .1600E+00   .1499E-01
  .2800   .2440E+06   .2104E+00   .3300E+00   .2543E+19   .9493E+04   .6848E-04   .1731E+00   .1622E-01
  .3000   .2230E+06   .1941E+00   .2968E+00   .2310E+19   .8567E+04   .6087E-04   .1865E+00   .1747E-01
  .3200   .2053E+06   .1807E+00   .2692E+00   .2116E+19   .7791E+04   .5445E-04   .2000E+00   .1874E-01
  .3400   .1902E+06   .1697E+00   .2459E+00   .1951E+19   .7129E+04   .4896E-04   .2138E+00   .2002E-01
  .3600   .1770E+06   .1603E+00   .2257E+00   .1807E+19   .6553E+04   .4421E-04   .2277E+00   .2133E-01
