rhor,xne,xni,xte,xti,vpold,vtord,xer,,,,,,,,,,,,,,,,,,,,,,,,,
8.85E-01,5.53923E+19,3.9898E+19,643.14067,687.93426,-3552.9422,80581.195,17121.723,,,,,,,,,,,,,,,,,,,,,,,,,
8.90E-01,5.53166E+19,4.01431E+19,636.91218,678.73167,-3578.4226,78975.141,16395.922,,,,,,,,,,,,,,,,,,,,,,,,,
8.95E-01,5.52128E+19,4.04102E+19,630.76949,669.47966,-3607.9983,77220.64,15576.171,,,,,,,,,,,,,,,,,,,,,,,,,
9.00E-01,5.50741E+19,4.07043E+19,624.68917,660.17821,-3641.6995,75314.419,14645.125,,,,,,,,,,,,,,,,,,,,,,,,,
9.05E-01,5.48941E+19,4.10304E+19,618.63074,650.82402,-3688.6499,73271.91,13600.793,,,,,,,,,,,,,,,,,,,,,,,,,
9.10E-01,5.46776E+19,4.13922E+19,612.57507,641.42398,-3754.9668,71119.602,12401.694,,,,,,,,,,,,,,,,,,,,,,,,,
9.15E-01,5.44577E+19,4.17879E+19,606.29122,631.96945,-3849.1251,68882.713,11006.518,,,,,,,,,,,,,,,,,,,,,,,,,
9.20E-01,5.41618E+19,4.22127E+19,599.87883,622.47072,-3977.1845,66588.443,9351.12,,,,,,,,,,,,,,,,,,,,,,,,,
9.25E-01,5.37538E+19,4.26554E+19,592.80014,612.91955,-4146.0656,64259.955,7374.6548,,,,,,,,,,,,,,,,,,,,,,,,,
9.30E-01,5.32712E+19,4.31335E+19,585.01595,603.31903,-4363.0019,61923.759,5050.4355,,,,,,,,,,,,,,,,,,,,,,,,,
9.35E-01,5.2598E+19,4.35557E+19,575.73627,593.67232,-4634.8361,59604.728,2318.9893,,,,,,,,,,,,,,,,,,,,,,,,,
9.40E-01,5.17161E+19,4.38715E+19,564.34535,583.97345,-4968.2314,57329.331,-723.01513,,,,,,,,,,,,,,,,,,,,,,,,,
9.45E-01,5.05151E+19,4.39107E+19,549.81531,574.22829,-5370.2567,55121.942,-3962.8518,,,,,,,,,,,,,,,,,,,,,,,,,
9.50E-01,4.88977E+19,4.35147E+19,530.65475,564.4352,-5848.005,53009.284,-7405.8719,,,,,,,,,,,,,,,,,,,,,,,,,
9.55E-01,4.67327E+19,4.24908E+19,505.20302,554.59162,-6407.8077,51005.595,-10864.679,,,,,,,,,,,,,,,,,,,,,,,,,
9.60E-01,4.39057E+19,4.06657E+19,471.77339,544.7015,-7057.1164,49082.985,-13940.132,,,,,,,,,,,,,,,,,,,,,,,,,
9.65E-01,4.03403E+19,3.79131E+19,429.47346,534.76469,-7797.2605,47203.495,-16203.407,,,,,,,,,,,,,,,,,,,,,,,,,
9.70E-01,3.60675E+19,3.42605E+19,378.76794,524.77863,-8520.128,45327.858,-18109.6,,,,,,,,,,,,,,,,,,,,,,,,,
9.75E-01,3.12668E+19,2.99196E+19,322.43277,514.74457,-9028.9875,43417.484,-19184.095,,,,,,,,,,,,,,,,,,,,,,,,,
9.80E-01,2.62591E+19,2.52446E+19,265.08076,504.66495,-9085.009,41434.173,-19633.743,,,,,,,,,,,,,,,,,,,,,,,,,
9.85E-01,2.14349E+19,2.06583E+19,211.75854,494.53861,-8508.34,39339.109,-18684.9,,,,,,,,,,,,,,,,,,,,,,,,,
9.90E-01,1.71353E+19,1.65292E+19,166.18656,484.36449,-7074.9933,37093.102,-16418.957,,,,,,,,,,,,,,,,,,,,,,,,,
9.95E-01,1.35623E+19,1.30803E+19,129.87616,474.14294,-4579.2309,34659.808,-12624.611,,,,,,,,,,,,,,,,,,,,,,,,,
1.00E+00,1.07609E+19,1.0371E+19,102.41394,463.87507,-809.54235,31997.304,-6806.8943,,,,,,,,,,,,,,,,,,,,,,,,,
