 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.6000 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .13182E+06 A
 Total NBCD Efficiency     =   .28656E-01 A/W
 Total Beam Beta           =   .17245E-02
 Taus                      =   .29235E-02 s
 Volp                      =   .17938E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .46000E+01
 Lost Power          .00000E+00
 NB driven current   .13182E+06
 NBCD efficiency     .28656E-01
 NBCD gamma          .12098E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .30843E-03 MW
 Total Power to Charged Particles =   .20352E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .26726E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .73576E+01   .59225E+01   .46081E+01
   .02000   .14850E+02   .11966E+02   .93187E+01
   .04000   .97788E+01   .78972E+01   .61631E+01
   .06000   .86274E+01   .69895E+01   .54725E+01
   .08000   .79881E+01   .64983E+01   .51103E+01
   .10000   .74904E+01   .61249E+01   .48434E+01
   .12000   .70435E+01   .57955E+01   .46134E+01
   .14000   .66113E+01   .54803E+01   .43964E+01
   .16000   .61841E+01   .51700E+01   .41841E+01
   .18000   .57625E+01   .48631E+01   .39743E+01
   .20000   .43249E+01   .37010E+01   .30740E+01
   .22000   .36337E+01   .31508E+01   .26560E+01
   .24000   .31556E+01   .27725E+01   .23713E+01
   .26000   .27897E+01   .24837E+01   .21552E+01
   .28000   .24954E+01   .22518E+01   .19824E+01
   .30000   .22518E+01   .20602E+01   .18402E+01
   .32000   .20463E+01   .18983E+01   .17201E+01
   .34000   .18704E+01   .17593E+01   .16168E+01
   .36000   .17185E+01   .16390E+01   .15276E+01
   .38000   .15857E+01   .15332E+01   .14487E+01
   .40000   .14689E+01   .14396E+01   .13786E+01
   .42000   .13656E+01   .13565E+01   .13163E+01
   .44000   .12739E+01   .12821E+01   .12602E+01
   .46000   .11919E+01   .12150E+01   .12092E+01
   .48000   .11185E+01   .11546E+01   .11630E+01
   .50000   .10526E+01   .11000E+01   .11213E+01
   .52000   .99328E+00   .10506E+01   .10833E+01
   .54000   .93952E+00   .10052E+01   .10481E+01
   .56000   .89079E+00   .96378E+00   .10158E+01
   .58000   .84634E+00   .92568E+00   .98590E+00
   .60000   .80551E+00   .89019E+00   .95771E+00
   .62000   .76803E+00   .85729E+00   .93141E+00
   .64000   .73347E+00   .82661E+00   .90669E+00
   .66000   .70125E+00   .79756E+00   .88291E+00
   .68000   .67098E+00   .76962E+00   .85947E+00
   .70000   .64251E+00   .74299E+00   .83689E+00
   .72000   .61542E+00   .71695E+00   .81416E+00
   .74000   .58932E+00   .69104E+00   .79078E+00
   .76000   .56400E+00   .66505E+00   .76653E+00
   .78000   .53920E+00   .63869E+00   .74109E+00
   .80000   .51469E+00   .61161E+00   .71403E+00
   .82000   .49021E+00   .58347E+00   .68493E+00
   .84000   .46551E+00   .55394E+00   .65342E+00
   .86000   .44063E+00   .52281E+00   .61915E+00
   .88000   .41600E+00   .49007E+00   .58200E+00
   .90000   .39340E+00   .45585E+00   .54147E+00
   .92000   .38002E+00   .42225E+00   .49822E+00
   .94000   .32943E+00   .37552E+00   .44734E+00
   .96000   .28729E+00   .32857E+00   .39283E+00
   .98000   .22422E+00   .26805E+00   .32465E+00
  1.00000   .00000E+00   .00000E+00   .00000E+00

 Pitch Angle at Birth
 --------------------------------
 Angle  1
     rho      zeta_1       zeta_2       zeta_3
   .00000   .63893E+00   .63861E+00   .63848E+00
