 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.3410 MW
 Total Lost Power          =     .0790 MW
 Total NB Driven Current   =   .15008E+06 A
 Total NBCD Efficiency     =   .34573E-01 A/W
 Total Beam Beta           =   .19820E-02
 Taus                      =   .41156E-02 s
 Volp                      =   .17990E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .43410E+01
 Lost Power          .79008E-01
 NB driven current   .15008E+06
 NBCD efficiency     .34573E-01
 NBCD gamma          .16187E-01

 Beam Shinethrough
    energy group 1   .23520E-01
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .31472E-03 MW
 Total Power to Charged Particles =   .20769E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .27268E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .58506   .58496E+00   .49858E+00   .47500E+00
   .59700   .00000E+00   .00000E+00   .00000E+00

   rho     jnbtot      pNBe        pNBi        nbfast      pressb      pfusb      dvol      dA
  .0000   .2899E+06   .3995E+00   .7119E+00   .5546E+19   .2117E+05   .1519E-03   .1544E-02   .1458E-03
  .0200   .7447E+06   .8061E+00   .1432E+01   .1117E+20   .4264E+05   .3049E-03   .1236E-01   .1166E-02
  .0400   .5318E+06   .5327E+00   .9421E+00   .7369E+19   .2810E+05   .2002E-03   .2472E-01   .2334E-02
  .0600   .4961E+06   .4725E+00   .8303E+00   .6513E+19   .2480E+05   .1759E-03   .3712E-01   .3504E-02
  .0800   .4796E+06   .4410E+00   .7677E+00   .6045E+19   .2298E+05   .1619E-03   .4954E-01   .4677E-02
  .1000   .4659E+06   .4178E+00   .7181E+00   .5684E+19   .2155E+05   .1506E-03   .6201E-01   .5854E-02
  .1200   .4511E+06   .3972E+00   .6729E+00   .5361E+19   .2026E+05   .1404E-03   .7454E-01   .7036E-02
  .1400   .4340E+06   .3777E+00   .6292E+00   .5048E+19   .1901E+05   .1305E-03   .8714E-01   .8225E-02
  .1600   .4148E+06   .3585E+00   .5861E+00   .4738E+19   .1777E+05   .1208E-03   .9981E-01   .9422E-02
  .1800   .3944E+06   .3395E+00   .5438E+00   .4433E+19   .1655E+05   .1113E-03   .1126E+00   .1063E-01
  .2000   .3733E+06   .3209E+00   .5027E+00   .4132E+19   .1535E+05   .1018E-03   .1255E+00   .1184E-01
  .2200   .3514E+06   .3027E+00   .4628E+00   .3839E+19   .1419E+05   .9270E-04   .1384E+00   .1307E-01
  .2400   .3291E+06   .2849E+00   .4245E+00   .3554E+19   .1306E+05   .8404E-04   .1515E+00   .1431E-01
  .2600   .3068E+06   .2677E+00   .3883E+00   .3281E+19   .1198E+05   .7590E-04   .1648E+00   .1556E-01
  .2800   .2850E+06   .2514E+00   .3544E+00   .3022E+19   .1096E+05   .6833E-04   .1782E+00   .1682E-01
  .3000   .2605E+06   .2329E+00   .3187E+00   .2742E+19   .9871E+04   .6053E-04   .1917E+00   .1810E-01
  .3200   .2255E+06   .2051E+00   .2723E+00   .2363E+19   .8438E+04   .5082E-04   .2055E+00   .1940E-01
  .3400   .2039E+06   .1889E+00   .2429E+00   .2127E+19   .7531E+04   .4454E-04   .2194E+00   .2071E-01
