 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.2282 MW
 Total Lost Power          =     .0718 MW
 Total NB Driven Current   =   .10746E+06 A
 Total NBCD Efficiency     =   .25415E-01 A/W
 Total Beam Beta           =   .14671E-02
 Taus                      =   .43344E-02 s
 Volp                      =   .18044E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .42282E+01
 Lost Power          .71813E-01
 NB driven current   .10746E+06
 NBCD efficiency     .25415E-01
 NBCD gamma          .11427E-01

 Beam Shinethrough
    energy group 1   .21975E-01
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .25360E-03 MW
 Total Power to Charged Particles =   .16740E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .21960E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .55043E+01   .42840E+01   .32670E+01
   .02000   .11069E+02   .86254E+01   .65839E+01
   .04000   .72842E+01   .56889E+01   .43514E+01
   .06000   .64230E+01   .50322E+01   .38613E+01
   .08000   .59440E+01   .46753E+01   .36022E+01
   .10000   .55694E+01   .44018E+01   .34089E+01
   .12000   .52320E+01   .41597E+01   .32416E+01
   .14000   .49066E+01   .39286E+01   .30840E+01
   .16000   .45870E+01   .37027E+01   .29312E+01
   .18000   .42714E+01   .34795E+01   .27805E+01
   .20000   .39624E+01   .32604E+01   .26324E+01
   .22000   .36628E+01   .30464E+01   .24870E+01
   .24000   .33760E+01   .28400E+01   .23460E+01
   .26000   .31045E+01   .26429E+01   .22104E+01
   .28000   .28502E+01   .24569E+01   .20817E+01
   .30000   .25501E+01   .22294E+01   .19174E+01
   .32000   .22085E+01   .19621E+01   .17173E+01
   .34000   .19862E+01   .17917E+01   .15931E+01
   .36000   .18104E+01   .16578E+01   .14968E+01
   .38000   .16643E+01   .15466E+01   .14172E+01
   .40000   .15398E+01   .14519E+01   .13497E+01
   .42000   .14321E+01   .13700E+01   .12916E+01
   .44000   .13378E+01   .12982E+01   .12408E+01
   .46000   .12543E+01   .12344E+01   .11958E+01
   .48000   .11801E+01   .11777E+01   .11559E+01
   .50000   .11138E+01   .11269E+01   .11203E+01
   .52000   .10541E+01   .10811E+01   .10884E+01
   .54000   .10000E+01   .10394E+01   .10591E+01
   .56000   .95082E+00   .10014E+01   .10326E+01
   .58000   .90573E+00   .96630E+00   .10082E+01
   .60000   .86413E+00   .93371E+00   .98526E+00
   .62000   .82561E+00   .90334E+00   .96386E+00
   .64000   .78980E+00   .87489E+00   .94371E+00
   .66000   .75612E+00   .84777E+00   .92422E+00
   .68000   .72417E+00   .82153E+00   .90484E+00
   .70000   .69377E+00   .79618E+00   .88581E+00
   .72000   .66444E+00   .77112E+00   .86636E+00
   .74000   .63588E+00   .74602E+00   .84613E+00
   .76000   .60774E+00   .72053E+00   .82477E+00
   .78000   .57984E+00   .69441E+00   .80195E+00
   .80000   .55191E+00   .66731E+00   .77726E+00
   .82000   .52368E+00   .63888E+00   .75023E+00
   .84000   .49496E+00   .60888E+00   .72054E+00
   .86000   .46551E+00   .57694E+00   .68771E+00
   .88000   .43520E+00   .54294E+00   .65158E+00
   .90000   .40369E+00   .50630E+00   .61131E+00
   .92000   .37087E+00   .46701E+00   .56696E+00
   .94000   .33637E+00   .42459E+00   .51794E+00
   .96000   .29990E+00   .37864E+00   .46373E+00
   .98000   .26082E+00   .32794E+00   .40260E+00
  1.00000   .00000E+00   .00000E+00   .00000E+00

 Pitch Angle at Birth
 --------------------------------
 Angle  1
     rho      zeta_1       zeta_2       zeta_3
   .00000   .60469E+00   .60455E+00   .60443E+00
   .01193   .60465E+00   .60446E+00   .60431E+00
   .02386   .60450E+00   .60419E+00   .60394E+00
   .03579   .60427E+00   .60375E+00   .60333E+00
   .04772   .60393E+00   .60312E+00   .60247E+00
   .05965   .60349E+00   .60230E+00   .60136E+00
   .07158   .60296E+00   .60130E+00   .60000E+00
   .08351   .60231E+00   .60010E+00   .59838E+00
   .09544   .60155E+00   .59870E+00   .59652E+00
   .10737   .60067E+00   .59709E+00   .59438E+00
   .11930   .59966E+00   .59526E+00   .59198E+00
   .13123   .59852E+00   .59320E+00   .58931E+00
   .14316   .59725E+00   .59091E+00   .58638E+00
   .15509   .59583E+00   .58839E+00   .58319E+00
   .16702   .59426E+00   .58565E+00   .57976E+00
   .17895   .59224E+00   .58214E+00   .57545E+00
   .19088   .58955E+00   .57757E+00   .56995E+00
   .20281   .58716E+00   .57357E+00   .56522E+00
   .21474   .58481E+00   .56969E+00   .56071E+00
   .22667   .58248E+00   .56589E+00   .55636E+00
   .23860   .58014E+00   .56212E+00   .55210E+00
   .25053   .57778E+00   .55838E+00   .54793E+00
   .26246   .57544E+00   .55468E+00   .54386E+00
   .27439   .57308E+00   .55101E+00   .53987E+00
   .28632   .57073E+00   .54738E+00   .53596E+00
   .29825   .56837E+00   .54378E+00   .53212E+00
   .31018   .56602E+00   .54022E+00   .52836E+00
   .32211   .56368E+00   .53670E+00   .52467E+00
   .33404   .56136E+00   .53322E+00   .52105E+00
   .34597   .55906E+00   .52979E+00   .51750E+00
   .35790   .55677E+00   .52639E+00   .51401E+00
   .36983   .55450E+00   .52304E+00   .51059E+00
   .38176   .55228E+00   .51974E+00   .50724E+00
   .39369   .55008E+00   .51647E+00   .50394E+00
   .40562   .54793E+00   .51327E+00   .50071E+00
   .41755   .54583E+00   .51011E+00   .49754E+00
   .42948   .54380E+00   .50702E+00   .49443E+00
   .44141   .54185E+00   .50399E+00   .49139E+00
   .45334   .53999E+00   .50102E+00   .48841E+00
