 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.8800 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .14042E+06 A
 Total NBCD Efficiency     =   .28774E-01 A/W
 Total Beam Beta           =   .12458E-02
 Taus                      =   .13230E-01 s
 Volp                      =   .17797E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .48800E+01
 Lost Power          .00000E+00
 NB driven current   .14042E+06
 NBCD efficiency     .28774E-01
 NBCD gamma          .27273E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .26432E-03 MW
 Total Power to Charged Particles =   .17443E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .22898E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .98000   .74898E+00   .74898E+00   .74898E+00
  1.00000   .00000E+00   .00000E+00   .00000E+00

   rho     jnbtot      pNBe        pNBi        nbfast      pressb      pfusb      dvol      dA
  .0000   .7697E+05   .1126E+00   .1742E+00   .6239E+18   .2583E+04   .3739E-04   .1464E-02   .1358E-03
  .0200   .1740E+06   .2299E+00   .3553E+00   .1276E+19   .5281E+04   .7626E-04   .1172E-01   .1086E-02
  .0400   .1216E+06   .1548E+00   .2391E+00   .8622E+18   .3563E+04   .5125E-04   .2345E-01   .2174E-02
  .0600   .1140E+06   .1409E+00   .2176E+00   .7898E+18   .3258E+04   .4655E-04   .3521E-01   .3264E-02
  .0800   .1107E+06   .1335E+00   .2061E+00   .7557E+18   .3108E+04   .4397E-04   .4701E-01   .4358E-02
  .1000   .1107E+06   .1304E+00   .2011E+00   .7465E+18   .3060E+04   .4275E-04   .5886E-01   .5458E-02
  .1200   .1114E+06   .1286E+00   .1979E+00   .7452E+18   .3043E+04   .4186E-04   .7079E-01   .6563E-02
  .1400   .1130E+06   .1278E+00   .1962E+00   .7505E+18   .3051E+04   .4123E-04   .8279E-01   .7676E-02
  .1600   .1149E+06   .1276E+00   .1951E+00   .7595E+18   .3073E+04   .4068E-04   .9490E-01   .8798E-02
  .1800   .1176E+06   .1283E+00   .1951E+00   .7742E+18   .3117E+04   .4031E-04   .1071E+00   .9931E-02
  .2000   .1200E+06   .1288E+00   .1945E+00   .7877E+18   .3154E+04   .3974E-04   .1194E+00   .1107E-01
  .2200   .1223E+06   .1291E+00   .1936E+00   .8010E+18   .3190E+04   .3904E-04   .1319E+00   .1223E-01
  .2400   .1240E+06   .1290E+00   .1918E+00   .8110E+18   .3210E+04   .3806E-04   .1446E+00   .1340E-01
  .2600   .1251E+06   .1285E+00   .1891E+00   .8178E+18   .3217E+04   .3685E-04   .1573E+00   .1459E-01
  .2800   .1255E+06   .1274E+00   .1854E+00   .8206E+18   .3207E+04   .3537E-04   .1703E+00   .1579E-01
  .3000   .1257E+06   .1264E+00   .1818E+00   .8231E+18   .3195E+04   .3384E-04   .1835E+00   .1701E-01
  .3200   .1202E+06   .1204E+00   .1712E+00   .7922E+18   .3049E+04   .3089E-04   .1968E+00   .1825E-01
  .3400   .1163E+06   .1163E+00   .1630E+00   .7708E+18   .2943E+04   .2844E-04   .2104E+00   .1951E-01
  .3600   .1144E+06   .1143E+00   .1576E+00   .7614E+18   .2885E+04   .2656E-04   .2243E+00   .2079E-01
  .3800   .1128E+06   .1130E+00   .1531E+00   .7549E+18   .2839E+04   .2487E-04   .2383E+00   .2210E-01
  .4000   .1114E+06   .1122E+00   .1490E+00   .7489E+18   .2795E+04   .2333E-04   .2527E+00   .2343E-01
  .4200   .1099E+06   .1117E+00   .1452E+00   .7429E+18   .2751E+04   .2192E-04   .2673E+00   .2478E-01
  .4400   .1084E+06   .1115E+00   .1417E+00   .7368E+18   .2707E+04   .2065E-04   .2822E+00   .2616E-01
  .4600   .1068E+06   .1115E+00   .1384E+00   .7299E+18   .2659E+04   .1953E-04   .2974E+00   .2757E-01
  .4800   .1051E+06   .1118E+00   .1353E+00   .7218E+18   .2608E+04   .1857E-04   .3129E+00   .2901E-01
  .5000   .1036E+06   .1125E+00   .1327E+00   .7142E+18   .2556E+04   .1776E-04   .3287E+00   .3048E-01
  .5200   .1019E+06   .1135E+00   .1303E+00   .7054E+18   .2501E+04   .1706E-04   .3449E+00   .3198E-01
  .5400   .1003E+06   .1149E+00   .1283E+00   .6974E+18   .2448E+04   .1643E-04   .3615E+00   .3352E-01
  .5600   .9856E+05   .1165E+00   .1264E+00   .6876E+18   .2390E+04   .1584E-04   .3784E+00   .3509E-01
  .5800   .9676E+05   .1186E+00   .1248E+00   .6777E+18   .2330E+04   .1530E-04   .3957E+00   .3669E-01
  .6000   .9492E+05   .1210E+00   .1234E+00   .6674E+18   .2270E+04   .1480E-04   .4134E+00   .3833E-01
  .6200   .9305E+05   .1239E+00   .1223E+00   .6569E+18   .2209E+04   .1433E-04   .4316E+00   .4001E-01
  .6400   .9123E+05   .1272E+00   .1215E+00   .6468E+18   .2150E+04   .1388E-04   .4501E+00   .4173E-01
  .6600   .8940E+05   .1311E+00   .1209E+00   .6368E+18   .2091E+04   .1344E-04   .4691E+00   .4349E-01
  .6800   .8761E+05   .1355E+00   .1205E+00   .6275E+18   .2035E+04   .1297E-04   .4885E+00   .4530E-01
  .7000   .8607E+05   .1408E+00   .1208E+00   .6202E+18   .1985E+04   .1255E-04   .5085E+00   .4714E-01
  .7200   .8452E+05   .1465E+00   .1212E+00   .6126E+18   .1935E+04   .1215E-04   .5288E+00   .4903E-01
  .7400   .8285E+05   .1522E+00   .1213E+00   .6041E+18   .1882E+04   .1176E-04   .5497E+00   .5097E-01
  .7600   .8116E+05   .1582E+00   .1214E+00   .5953E+18   .1829E+04   .1139E-04   .5711E+00   .5295E-01
  .7800   .7949E+05   .1645E+00   .1216E+00   .5865E+18   .1776E+04   .1103E-04   .5931E+00   .5499E-01
  .8000   .7807E+05   .1714E+00   .1221E+00   .5794E+18   .1729E+04   .1073E-04   .6155E+00   .5707E-01
  .8200   .7651E+05   .1778E+00   .1221E+00   .5710E+18   .1678E+04   .1044E-04   .6385E+00   .5920E-01
  .8400   .7501E+05   .1839E+00   .1218E+00   .5626E+18   .1628E+04   .1018E-04   .6621E+00   .6139E-01
  .8600   .7347E+05   .1891E+00   .1211E+00   .5536E+18   .1577E+04   .9939E-05   .6863E+00   .6363E-01
  .8800   .7226E+05   .1942E+00   .1205E+00   .5470E+18   .1533E+04   .9754E-05   .7110E+00   .6592E-01
  .9000   .7086E+05   .1979E+00   .1192E+00   .5388E+18   .1486E+04   .9560E-05   .7364E+00   .6827E-01
  .9200   .6919E+05   .1988E+00   .1162E+00   .5278E+18   .1429E+04   .9386E-05   .7623E+00   .7068E-01
  .9400   .6558E+05   .1933E+00   .1078E+00   .5036E+18   .1329E+04   .8869E-05   .7889E+00   .7315E-01
  .9600   .5423E+05   .1726E+00   .8163E-01   .4294E+18   .1071E+04   .6329E-05   .8162E+00   .7567E-01
  .9800   .2853E+05   .1186E+00   .3194E-01   .2446E+18   .5230E+03   .1733E-05   .8441E+00   .7826E-01
 1.0000   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00
