 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.8800 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .15264E+06 A
 Total NBCD Efficiency     =   .31278E-01 A/W
 Total Beam Beta           =   .20952E-02
 Taus                      =   .38042E-02 s
 Volp                      =   .17511E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .48800E+01
 Lost Power          .00000E+00
 NB driven current   .15264E+06
 NBCD efficiency     .31278E-01
 NBCD gamma          .16606E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .37444E-03 MW
 Total Power to Charged Particles =   .24709E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .32445E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .59445E+01   .45826E+01   .34541E+01
   .02000   .12054E+02   .92948E+01   .70086E+01
   .04000   .79491E+01   .61377E+01   .46345E+01
   .06000   .70279E+01   .54392E+01   .41169E+01
   .08000   .65247E+01   .50674E+01   .38488E+01
   .10000   .61368E+01   .47885E+01   .36537E+01
   .12000   .57885E+01   .45426E+01   .34854E+01
   .14000   .54550E+01   .43096E+01   .33283E+01
   .16000   .51270E+01   .40810E+01   .31751E+01
   .18000   .48007E+01   .38542E+01   .30234E+01
   .20000   .44797E+01   .36298E+01   .28730E+01
   .22000   .34035E+01   .27961E+01   .22485E+01
   .24000   .29149E+01   .24258E+01   .19780E+01
   .26000   .25669E+01   .21642E+01   .17892E+01
   .28000   .22971E+01   .19621E+01   .16446E+01
   .30000   .20791E+01   .17992E+01   .15288E+01
   .32000   .18977E+01   .16640E+01   .14334E+01
   .34000   .17432E+01   .15497E+01   .13535E+01
   .36000   .16103E+01   .14516E+01   .12855E+01
   .38000   .14952E+01   .13671E+01   .12276E+01
   .40000   .13944E+01   .12927E+01   .11767E+01
   .42000   .13060E+01   .12276E+01   .11324E+01
   .44000   .12279E+01   .11699E+01   .10934E+01
   .46000   .11586E+01   .11188E+01   .10591E+01
   .48000   .10967E+01   .10732E+01   .10290E+01
   .50000   .10418E+01   .10336E+01   .10039E+01
   .52000   .99186E+00   .99709E+00   .98038E+00
   .54000   .94651E+00   .96417E+00   .95966E+00
   .56000   .90538E+00   .93440E+00   .94121E+00
   .58000   .86811E+00   .90776E+00   .92532E+00
   .60000   .83394E+00   .88334E+00   .91097E+00
   .62000   .80257E+00   .86104E+00   .89822E+00
   .64000   .77382E+00   .84080E+00   .88710E+00
   .66000   .74717E+00   .82211E+00   .87712E+00
   .68000   .72215E+00   .80448E+00   .86779E+00
   .70000   .69865E+00   .78805E+00   .85945E+00
   .72000   .67646E+00   .77245E+00   .85159E+00
   .74000   .65517E+00   .75722E+00   .84371E+00
   .76000   .63454E+00   .74207E+00   .83549E+00
   .78000   .61463E+00   .72708E+00   .82703E+00
   .80000   .59497E+00   .71169E+00   .81771E+00
   .82000   .57562E+00   .69585E+00   .80737E+00
   .84000   .55617E+00   .67912E+00   .79553E+00
   .86000   .53667E+00   .66145E+00   .78208E+00
   .88000   .51696E+00   .64263E+00   .76680E+00
   .90000   .49723E+00   .62280E+00   .74990E+00
   .92000   .47733E+00   .60094E+00   .72962E+00
   .94000   .45879E+00   .57781E+00   .70663E+00
   .96000   .45206E+00   .55783E+00   .68428E+00
   .98000   .41873E+00   .52263E+00   .64543E+00
  1.00000   .00000E+00   .00000E+00   .00000E+00

 Pitch Angle at Birth
 --------------------------------
 Angle  1
     rho      zeta_1       zeta_2       zeta_3
