fiolC,miol,xre,rhor,xnC,xte,miolC,fiol,eiolC,xni,xti,eiol
0.00016291476279341156,0.11075617817409207,3300.0,0.0,2.45e+17,4.41e+19,0.0010067054422186832,0.064632043937269207,0.00086189469737154201,3.91e+19,2200.0,0.11426701055256176
0.00016493730371437807,0.11089852547701695,3610.0,0.0050000000000000001,2.45e+17,4.41e+19,0.001017536210761264,0.064774670186492578,0.00087122651764655302,3.9e+19,2200.0,0.11441916654596146
0.0001669598446353446,0.11104087277994185,3990.0,0.01,2.45e+17,4.41e+19,0.0010283669793038448,0.064917296435715935,0.00088055833792156392,3.9e+19,2200.0,0.11457132253936114
0.00016888130805648338,0.11117068880081721,4420.0,0.014999999999999999,2.45e+17,4.41e+19,0.001038618750869741,0.065048180653631077,0.00088939078061636657,3.89e+19,2200.0,0.1147091983985781
0.00017080068740546076,0.1113002464447431,4890.0,0.02,2.45e+17,4.4e+19,0.0010488585843536436,0.065178822767807898,0.00089821292686621639,3.89e+19,2200.0,0.11484677982203871
0.00017039363378187046,0.11121327742448359,5380.0,0.025000000000000001,2.45e+17,4.4e+19,0.0010466474477570486,0.065103092287821379,0.00089625420617385314,3.88e+19,2190.0,0.11472664068107516
0.00016988862508575099,0.11111719149204785,5890.0,0.029999999999999999,2.45e+17,4.4e+19,0.0010439120597886434,0.065018672435449024,0.00089384155424181773,3.88e+19,2190.0,0.11459565014792535
0.00017178681461073661,0.11124328860296975,6410.0,0.035000000000000003,2.45e+17,4.39e+19,0.0010540112394168332,0.06514593135744938,0.00090254310209874928,3.87e+19,2190.0,0.11472992315879645
0.00017384004918224511,0.11138372010378569,6950.0,0.040000000000000001,2.45e+17,4.39e+19,0.0010649384556641586,0.065286846974570545,0.00091196169510335615,3.86e+19,2190.0,0.11488130994670115
0.00017370165456075383,0.11132331452694992,7490.0,0.044999999999999998,2.45e+17,4.38e+19,0.0010641673461311962,0.065236145422709821,0.00091125091635041618,3.86e+19,2180.0,0.11479362509756087
0.0001733705892409769,0.11124525294328763,8040.0,0.050000000000000003,2.45e+17,4.38e+19,0.0010623678123538129,0.065168598405444089,0.00090964964337703254,3.85e+19,2180.0,0.11468492296164741
0.00017316277912990673,0.11117895607145259,8600.0,0.055,2.45e+17,4.37e+19,0.0010612255297620572,0.065112239524216672,0.00090861847492765301,3.85e+19,2180.0,0.11459062330939111
0.00017296881791869129,0.11111398107735096,9150.0,0.059999999999999998,2.45e+17,4.37e+19,0.0010601570956181247,0.065057137736926132,0.00090765136316636372,3.84e+19,2170.0,0.1144979419137255
0.00017291843317937444,0.11106261821617668,9710.0,0.065000000000000002,2.45e+17,4.36e+19,0.001059854746807521,0.065014962534569357,0.00090734824262141622,3.84e+19,2170.0,0.11442180265077398
0.00017288785209135392,0.11101313289057857,10300.0,0.070000000000000007,2.45e+17,4.35e+19,0.0010596580649394457,0.064974570309444826,0.00090713670707182612,3.83e+19,2160.0,0.11434794506130028
0.0001730177100981544,0.11097873826779149,10800.0,0.074999999999999997,2.45e+17,4.34e+19,0.0010603172742362629,0.064948495932678443,0.00090766660366104629,3.82e+19,2160.0,0.11429233553492649
0.00017317399336763128,0.11094682917252621,11400.0,0.080000000000000002,2.45e+17,4.34e+19,0.0010611174538425916,0.064924779789759274,0.00090831861848489413,3.82e+19,2150.0,0.1142397315718868
