zbar2,exlti,gammahat,bthet,exlte,qhatHeati,Snbi,exlni,xne,xer,eiolC,xnC,vtorC,vtorD,vtorDhat,xmomtor1,xmomtor2,xte,xnuioni,xnuati,vpolD,y22,qhatHeate,nudrag,vtorChat,fiolC,miol,rhor,miolC,fiol,intrin,intrinC,eiol,qHeati,fz1,qnbi,q,vpolC,gamC,xti,xni,fracz,y11,qHeate,gamma
6.0,-507.53836000000001,0.0,0.0,-569.08166000000006,0.0,1.1095435422100854e+20,31.836732999999999,4.41e+19,3300.0,0.00086189469737154201,2.45e+17,90000.0,98780.314237082392,41489.242496084305,0.0,0.0,1820.0,0.0,0.0,0.0,0.0094079999999999997,0.0,21.146333146256691,89787.408558571784,0.00016291476279341156,0.11075617817409207,0.0,0.0010067054422186832,0.064632043937269207,57291.071740998086,212.59144142821964,0.11426701055256176,0.0,1.47e+18,0.0,0.36699999999999999,0.0,0.0,2200.0,3.91e+19,0.025000000000000001,0.25023999999999996,0.0,0.0
6.0,31.649469,0.0,0.00093917710196779968,35.625605,0.0,1.0919794300652401e+20,3.6797502,4.41e+19,3610.0,0.00087122651764655302,2.45e+17,90000.0,99961.105285504047,42596.401267928239,0.038147554182632645,0.00023964489166012812,1820.0,0.0,0.0,-0.0040249999999999999,0.009647644891660128,0.0,24.369870391429153,89785.121366509746,0.00016493730371437807,0.11089852547701695,0.0050000000000000001,0.001017536210761264,0.064774670186492578,57364.704017575808,214.87863349024735,0.11441916654596146,0.0,1.47e+18,41530.105591138374,0.36699999999999999,-0.0016100000000000001,0.0,2200.0,3.9e+19,0.025000000000000001,0.28774755418263265,0.0,0.0
6.0,11.636329999999999,5.3732232880717331e+17,0.0018783542039355994,13.122945,203.45305750477289,1.0746446576143466e+20,2.7163569999999999,4.41e+19,3990.0,0.00088055833792156392,2.45e+17,90000.0,100265.68477266293,42827.348478509382,0.047884556267477431,0.0003008132380905633,1820.0,0.0,0.0,-0.032250000000000001,0.0097088132380905631,0.0,25.20635364127164,89782.834174447722,0.0001669598446353446,0.11104087277994185,0.01,0.0010283669793038448,0.064917296435715935,57438.336294153552,217.16582555227507,0.11457132253936114,203.45305750477289,1.47e+18,52153.59108649697,0.36699999999999999,-0.0129,0.0,2200.0,3.9e+19,0.025000000000000001,0.29764604133230677,0.0,5.3732232880717331e+17
6.0,6.5581880000000004,8.8688997473353869e+17,0.0028175313059033988,7.4407769999999998,384.32439454675989,1.0575376918811964e+20,2.3151397999999999,4.41e+19,4420.0,0.00088939078061636657,2.45e+17,90000.0,100529.85305181066,43024.3665626277,0.056167856125060742,0.00035375642032493268,1820.0,0.0,0.0,-0.10874999999999999,0.0097617564203249328,0.0,25.938774107751829,89780.669252313615,0.00016888130805648338,0.11117068880081721,0.014999999999999999,0.001038618750869741,0.065048180653631077,57505.486489182957,219.33074768638355,0.1147091983985781,384.34309410103089,1.47e+18,61209.260741425052,0.36799999999999999,-0.043499999999999997,0.0,2200.0,3.89e+19,0.025000000000000001,0.3055276705680533,0.0,8.869837318120471e+17
6.0,4.4179735000000004,1.1853222059262636e+18,0.0037567084078711987,5.0308719999999996,572.33445107265015,1.0406569998895812e+20,2.0884763999999998,4.4e+19,4890.0,0.00089821292686621639,2.45e+17,90000.0,100732.74283685579,43160.239803809374,0.062468804691068879,0.00039344105782292734,1820.0,0.0,0.0,-0.25749999999999995,0.0098014410578229263,0.0,26.499102139858618,89778.506851208949,0.00017080068740546076,0.1113002464447431,0.02,0.0010488585843536436,0.065178822767807898,57572.503033046414,221.49314879105037,0.11484677982203871,572.3881299334048,1.47e+18,68117.692460023318,0.37,-0.10299999999999999,0.0,2200.0,3.89e+19,0.025000000000000001,0.31214127027459521,0.0,1.1855662988038259e+18
6.0,3.2832408000000002,1.4604019239812718e+18,0.0046958855098389977,3.7540694000000001,768.19808302634908,1.024001048663291e+20,1.9409609000000001,4.4e+19,5380.0,0.00089625420617385314,2.45e+17,90000.0,100804.62283176296,43407.999706488292,0.067083863125894663,0.00042359655839804621,1820.0,0.0,0.0,-0.50249999999999995,0.0098315965583980463,0.0,26.938539026543587,89779.476693332646,0.00017039363378187046,0.11121327742448359,0.025000000000000001,0.0010466474477570486,0.065103092287821379,57396.623125274666,220.52330666735162,0.11472664068107516,768.18601499508804,1.47e+18,73200.702989645957,0.374,-0.20100000000000001,0.0,2190.0,3.88e+19,0.025000000000000001,0.31650112396323299,0.0,1.4604535633747062e+18
6.0,2.5980840000000001,1.7209912514695788e+18,0.0056350626118067976,2.9837459000000002,967.30473778121859,1.0075683052261186e+20,1.8361341,4.4e+19,5890.0,0.00089384155424181773,2.45e+17,90000.0,100904.37561159888,43557.341961424434,0.070287770089798307,0.00044382741422681918,1820.0,0.0,0.0,-0.86999999999999988,0.0098518274142268183,0.0,27.249345173260487,89780.053025698537,0.00016988862508575099,0.11111719149204785,0.029999999999999999,0.0010439120597886434,0.065018672435449024,57347.033650174446,219.94697430146897,0.11459565014792535,967.2108200324019,1.47e+18,76752.003341536751,0.379,-0.34799999999999998,0.0,2190.0,3.88e+19,0.025000000000000001,0.32015943304282268,0.0,1.7208287887586478e+18
6.0,2.1507759000000002,1.9704385762074821e+18,0.0065742397137745975,2.4807150999999998,1166.9643810851962,9.9135723660185453e+19,1.7579597,4.39e+19,6410.0,0.00090254310209874928,2.45e+17,90000.0,100993.66784109571,43581.55609484874,0.072389360332542937,0.00045827889616209354,1810.0,0.0,0.0,-1.3800000000000001,0.0098662788961620933,0.0,27.488420971757186,89777.925179793005,0.00017178681461073661,0.11124328860296975,0.035000000000000003,0.0010540112394168332,0.06514593135744938,57412.11174624697,222.07482020699203,0.11472992315879645,1166.9952009005619,1.47e+18,79107.624722969122,0.38500000000000001,-0.55200000000000005,0.0,2190.0,3.87e+19,0.025000000000000001,0.32214202201914399,0.0,1.9706747229511964e+18
6.0,1.8413755000000001,2.211331062811296e+18,0.0075134168157423974,2.1316831999999999,1366.7156139463132,9.7536630981429002e+19,1.6972486,4.39e+19,6950.0,0.00091196169510335615,2.45e+17,90000.0,101061.14087961339,43576.553129476306,0.073627838533239273,0.00046732695442081929,1810.0,0.0,0.0,-2.0599999999999996,0.0098753269544208187,0.0,27.660545689759221,89775.622870773193,0.00017384004918224511,0.11138372010378569,0.040000000000000001,0.0010649384556641586,0.065286846974570545,57484.587750137085,224.37712922679938,0.11488130994670115,1366.8971497002503,1.47e+18,80524.653932080444,0.39300000000000002,-0.82399999999999995,0.0,2190.0,3.86e+19,0.025000000000000001,0.32332618285203923,0.0,2.212023537489442e+18
6.0,1.6174856,2.4456239381781949e+18,0.0084525939177101956,1.8807419999999999,1567.1307841402224,9.5959399188721648e+19,1.6492115000000001,4.38e+19,7490.0,0.00091125091635041618,2.45e+17,90000.0,101028.45952937915,43706.369057025382,0.074575723153012391,0.00047334332053077817,1810.0,0.0,0.0,-2.9249999999999998,0.009881343320530778,0.0,27.797858645772489,89776.297830961659,0.00017370165456075383,0.11132331452694992,0.044999999999999998,0.0010641673461311962,0.065236145422709821,57322.090472353768,223.70216903833358,0.11479362509756087,1567.1856199155734,1.47e+18,81625.79223085384,0.40000000000000002,-1.1699999999999999,0.0,2180.0,3.86e+19,0.025000000000000001,0.32492322171698862,0.0,2.446040140378668e+18
