rhor,xnuati,xnuioni
8.56E-01,2.32E-08,4.12E-01
8.62E-01,3.94E-08,5.41E-01
8.68E-01,1.15E-07,6.96E-01
8.74E-01,5.15E-07,8.70E-01
8.80E-01,1.54E-06,1.106851
8.86E-01,4.65E-06,1.406108
8.92E-01,1.42E-05,1.787501
8.98E-01,4.39E-05,2.277365
9.04E-01,1.37E-04,2.910864
9.10E-01,4.30E-04,3.735117
9.16E-01,1.35E-03,4.813455
9.22E-01,4.27E-03,6.231264
9.28E-01,1.34E-02,8.103986
9.34E-01,4.16E-02,10.58809
9.40E-01,1.27E-01,13.89633
9.46E-01,3.80E-01,18.31931
9.52E-01,1.10E+00,24.25629
9.58E-01,3.08E+00,32.2696
9.64E-01,8.22E+00,43.18401
9.70E-01,2.07E+01,58.26501
9.76E-01,4.90E+01,79.63428
9.82E-01,1.07E+02,111.4329
9.88E-01,2.13E+02,161.982
9.94E-01,3.78E+02,246.2809
1,2.28E+02,388.9363
