rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
0.00E+00,4.77E+19,4.60E+19,1.62E+03,1.61E+03,7.65E+02,1.89E+18,0.025,-271.64572,-438.51457,0.00E+00,2.22E+04,-195.74811,2.67E-01,6
5.00E-03,4.77E+19,4.60E+19,1.62E+03,1.61E+03,7.99E+02,1.89E+18,0.025,15.939862,26.571973,-1.60E-03,2.22E+04,23.010168,2.67E-01,6
1.00E-02,4.77E+19,4.60E+19,1.62E+03,1.61E+03,8.41E+02,1.89E+18,0.025,5.8699188,9.7703758,-1.28E-02,2.22E+04,7.3888359,2.67E-01,6
1.50E-02,4.77E+19,4.59E+19,1.62E+03,1.61E+03,8.90E+02,1.89E+18,0.025,3.3229239,5.5259058,-4.33E-02,2.22E+04,4.0439892,2.68E-01,6
2.00E-02,4.76E+19,4.59E+19,1.62E+03,1.60E+03,9.41E+02,1.89E+18,0.025,2.2468772,3.7346067,-1.03E-01,2.22E+04,2.7051952,2.70E-01,6
2.50E-02,4.76E+19,4.58E+19,1.62E+03,1.60E+03,9.95E+02,1.89E+18,0.025,1.6738838,2.7800982,-2.00E-01,2.22E+04,2.0122662,2.73E-01,6
3.00E-02,4.75E+19,4.58E+19,1.61E+03,1.60E+03,1.05E+03,1.89E+18,0.025,1.3294575,2.2061369,-3.46E-01,2.22E+04,1.6029979,2.77E-01,6
3.50E-02,4.75E+19,4.57E+19,1.61E+03,1.59E+03,1.11E+03,1.88E+18,0.025,1.1025594,1.8283154,-5.49E-01,2.22E+04,1.3380346,2.82E-01,6
4.00E-02,4.74E+19,4.56E+19,1.61E+03,1.59E+03,1.17E+03,1.88E+18,0.025,0.94538933,1.5669059,-8.20E-01,2.22E+04,1.1565472,2.88E-01,6
4.50E-02,4.73E+19,4.55E+19,1.61E+03,1.59E+03,1.23E+03,1.88E+18,0.025,0.83194447,1.378035,-1.17E+00,2.22E+04,1.027783,2.94E-01,6
5.00E-02,4.72E+19,4.54E+19,1.60E+03,1.58E+03,1.30E+03,1.87E+18,0.025,0.74802542,1.2382754,-1.60E+00,2.22E+04,0.93422472,3.00E-01,6
5.50E-02,4.71E+19,4.53E+19,1.60E+03,1.58E+03,1.37E+03,1.87E+18,0.025,0.68482643,1.1329774,-2.13E+00,2.22E+04,0.86557257,3.06E-01,6
6.00E-02,4.70E+19,4.51E+19,1.60E+03,1.57E+03,1.45E+03,1.87E+18,0.025,0.63747793,1.0540974,-2.77E+00,2.22E+04,0.81633043,3.12E-01,6
6.50E-02,4.69E+19,4.50E+19,1.59E+03,1.56E+03,1.54E+03,1.86E+18,0.025,0.60182399,0.99454047,-3.52E+00,2.22E+04,0.78154421,3.17E-01,6
7.00E-02,4.68E+19,4.48E+19,1.59E+03,1.56E+03,1.63E+03,1.86E+18,0.025,0.57603675,0.95138242,-4.40E+00,2.22E+04,0.75914979,3.22E-01,6
7.50E-02,4.67E+19,4.47E+19,1.59E+03,1.55E+03,1.73E+03,1.85E+18,0.025,0.5587495,0.92230838,-5.41E+00,2.23E+04,0.74828064,3.27E-01,6
8.00E-02,4.66E+19,4.45E+19,1.58E+03,1.54E+03,1.85E+03,1.85E+18,0.025,0.54890889,0.90569162,-6.56E+00,2.23E+04,0.7475009,3.32E-01,6
8.50E-02,4.64E+19,4.44E+19,1.58E+03,1.54E+03,1.98E+03,1.84E+18,0.025,0.54591835,0.90024452,-7.87E+00,2.23E+04,0.75488204,3.37E-01,6
9.00E-02,4.63E+19,4.42E+19,1.57E+03,1.53E+03,2.12E+03,1.84E+18,0.025,0.54918277,0.90511255,-9.34E+00,2.23E+04,0.76837641,3.42E-01,6
9.50E-02,4.61E+19,4.40E+19,1.57E+03,1.52E+03,2.27E+03,1.83E+18,0.025,0.55804425,0.91911649,-1.10E+01,2.23E+04,0.78740019,3.47E-01,6
