rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
8.80E-01,1.87E+19,1.70E+19,1.87E+02,3.10E+02,5.35E+03,1.23E+18,2.50E-02,0.16152412,0.1170625,7.51E+02,1.26E+04,0.15251017,2.77E+00,5.94
8.85E-01,1.84E+19,1.68E+19,1.81E+02,3.06E+02,5.32E+03,1.22E+18,2.50E-02,0.15377975,0.084796875,8.25E+02,1.24E+04,0.14868429,2.82E+00,5.95
8.90E-01,1.82E+19,1.65E+19,1.75E+02,3.02E+02,5.30E+03,1.22E+18,2.50E-02,0.14613052,0.110793651,8.90E+02,1.22E+04,0.14496297,2.87E+00,5.94
8.95E-01,1.79E+19,1.63E+19,1.68E+02,2.97E+02,5.25E+03,1.21E+18,2.50E-02,0.13873224,0.106793651,9.43E+02,1.20E+04,0.14145467,2.93E+00,5.93
9.00E-01,1.76E+19,1.60E+19,1.62E+02,2.93E+02,5.24E+03,1.19E+18,2.50E-02,0.13132504,0.102793651,9.86E+02,1.19E+04,0.13788348,2.98E+00,5.92
9.05E-01,1.74E+19,1.58E+19,1.56E+02,2.88E+02,5.22E+03,1.18E+18,2.50E-02,0.12408694,0.100387097,1.02E+03,1.18E+04,0.13437615,3.04E+00,5.89
9.10E-01,1.71E+19,1.55E+19,1.49E+02,2.83E+02,5.19E+03,1.16E+18,2.50E-02,0.11717086,0.096387097,1.05E+03,1.18E+04,0.13111292,3.09E+00,5.86
9.15E-01,1.68E+19,1.53E+19,1.43E+02,2.78E+02,5.14E+03,1.14E+18,2.50E-02,0.11055069,0.092387097,1.07E+03,1.18E+04,0.12803929,3.15E+00,5.83
9.20E-01,1.65E+19,1.51E+19,1.37E+02,2.73E+02,5.09E+03,1.12E+18,2.50E-02,0.10419187,0.089836066,1.08E+03,1.18E+04,0.12511896,3.22E+00,5.78
9.25E-01,1.61E+19,1.48E+19,1.31E+02,2.68E+02,5.01E+03,1.10E+18,2.50E-02,0.097795025,0.085836066,1.10E+03,1.19E+04,0.12189318,3.28E+00,5.72
9.30E-01,1.58E+19,1.46E+19,1.25E+02,2.62E+02,4.96E+03,1.07E+18,2.50E-02,0.091497608,0.0832,1.10E+03,1.19E+04,0.11843209,3.35E+00,5.66
9.35E-01,1.55E+19,1.43E+19,1.19E+02,2.56E+02,4.90E+03,1.05E+18,2.50E-02,0.085205704,0.0792,1.11E+03,1.20E+04,0.11456064,3.42E+00,5.59
9.40E-01,1.51E+19,1.41E+19,1.13E+02,2.51E+02,4.84E+03,1.02E+18,2.50E-02,0.079203613,0.0564,1.12E+03,1.21E+04,0.11068611,3.50E+00,5.5
9.45E-01,1.48E+19,1.39E+19,1.07E+02,2.45E+02,4.79E+03,9.83E+17,2.50E-02,0.073852867,0.07240678,1.12E+03,1.21E+04,0.10726692,3.57E+00,5.41
9.50E-01,1.44E+19,1.36E+19,1.01E+02,2.38E+02,4.74E+03,9.49E+17,2.50E-02,0.069062024,0.06840678,1.13E+03,1.22E+04,0.10422459,3.66E+00,5.31
9.55E-01,1.40E+19,1.34E+19,9.50E+01,2.32E+02,4.70E+03,9.14E+17,2.50E-02,0.064782076,0.06440678,1.14E+03,1.22E+04,0.10208019,3.75E+00,5.19
9.60E-01,1.37E+19,1.32E+19,8.91E+01,2.25E+02,4.66E+03,8.77E+17,2.50E-02,0.060494982,0.061448276,1.15E+03,1.22E+04,0.097371206,3.84E+00,5.07
9.65E-01,1.33E+19,1.29E+19,8.33E+01,2.19E+02,4.60E+03,8.40E+17,2.50E-02,0.055580225,0.057448276,1.17E+03,1.22E+04,0.087187372,3.95E+00,4.94
9.70E-01,1.28E+19,1.26E+19,7.75E+01,2.11E+02,4.50E+03,8.01E+17,2.50E-02,0.050311264,0.053448276,1.20E+03,1.21E+04,0.073087417,4.06E+00,4.8
9.75E-01,1.24E+19,1.23E+19,7.17E+01,2.04E+02,4.37E+03,7.61E+17,2.50E-02,0.045057282,0.050315789,1.23E+03,1.21E+04,0.058649391,4.18E+00,4.66
9.80E-01,1.20E+19,1.19E+19,6.60E+01,1.97E+02,4.22E+03,7.21E+17,2.50E-02,0.039905258,0.046315789,1.27E+03,1.19E+04,0.045585193,4.37E+00,4.51
9.85E-01,1.15E+19,1.15E+19,6.03E+01,1.89E+02,4.05E+03,6.81E+17,2.50E-02,0.03524825,0.043071429,1.32E+03,1.17E+04,0.03493198,4.51E+00,4.37
9.90E-01,1.10E+19,1.10E+19,5.47E+01,1.81E+02,3.86E+03,6.40E+17,2.50E-02,0.030889178,0.039071429,1.38E+03,1.15E+04,0.026798753,4.62E+00,4.23
9.95E-01,1.05E+19,1.03E+19,4.91E+01,1.72E+02,3.63E+03,5.99E+17,2.50E-02,0.026802946,0.035071429,1.45E+03,1.12E+04,0.020730475,5.84E+00,4.12
1.00E+00,9.91E+18,9.65E+18,4.35E+01,1.64E+02,3.45E+03,5.58E+17,2.50E-02,0.023958698,0.03,1.53E+03,1.08E+04,0.016554965,8.11E+00,4.03
