rhor,er,er_sc,ne,ne_sc,ni,ni_sc,te,te_sc,ti,ti_sc
0.988,-18.78363,-0.0225,0.23088,0.00608,0.19439,0.00734,0.16285,0.0042,0.55896,0.0393
0.989,-18.98533,-0.02676,0.22155,0.00595,0.18781,0.00707,0.15335,0.00406,0.55541,0.03862
0.99,-19.13416,-0.03642,0.21251,0.00583,0.1813,0.00684,0.14422,0.00394,0.55187,0.03796
0.991,-19.24183,-0.04949,0.20377,0.00574,0.17489,0.00666,0.13548,0.00384,0.54832,0.03742
0.992,-19.32236,-0.0715,0.19535,0.00566,0.1686,0.0065,0.12714,0.00375,0.54478,0.03683
0.993,-19.37156,-0.15485,0.18724,0.00558,0.16246,0.00635,0.11922,0.00367,0.54124,0.03625
0.994,-19.38198,0.26917,0.17945,0.00553,0.15648,0.00624,0.11172,0.0036,0.53771,0.03572
0.995,-19.33822,0.06018,0.17199,0.00549,0.15068,0.00615,0.10465,0.00355,0.53417,0.0352
0.996,-19.23275,0.0331,0.16486,0.00547,0.14507,0.00609,0.09798,0.00352,0.53064,0.03479
0.997,-19.06929,0.02287,0.15804,0.00546,0.13965,0.00604,0.09173,0.00349,0.5271,0.03434
0.998,-18.84964,0.01744,0.15155,0.00546,0.13443,0.006,0.08589,0.00347,0.52357,0.03387
0.999,-18.57605,0.01411,0.14536,0.00547,0.12942,0.00599,0.08043,0.00347,0.52004,0.03348
1,-18.2518,0.01181,0.13948,0.0055,0.12462,0.00599,0.07534,0.00348,0.51652,0.0331
