rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
0.00E+00,4.37E+19,3.80E+19,2.01E+03,2.24E+03,3.79E+03,1.60E+18,2.50E-02,80,80,0.00E+00,9.67E+04,32.050571,3.96E-01,6
5.00E-03,4.37E+19,3.79E+19,2.01E+03,2.24E+03,3.98E+03,1.60E+18,2.50E-02,47.331833,42.908998,-2.59E-03,9.67E+04,3.6148624,3.96E-01,6
1.00E-02,4.37E+19,3.79E+19,2.01E+03,2.24E+03,4.25E+03,1.60E+18,2.50E-02,17.241199,15.757833,-2.07E-02,9.67E+04,2.6040974,3.96E-01,6
1.50E-02,4.37E+19,3.78E+19,2.01E+03,2.24E+03,4.59E+03,1.60E+18,2.50E-02,9.6967783,8.910382,-6.98E-02,9.67E+04,2.1770589,3.96E-01,6
2.00E-02,4.37E+19,3.77E+19,2.01E+03,2.24E+03,4.99E+03,1.60E+18,2.50E-02,6.5016503,6.0063217,-1.65E-01,9.67E+04,1.9333124,3.98E-01,6
2.50E-02,4.36E+19,3.77E+19,2.01E+03,2.24E+03,5.42E+03,1.60E+18,2.50E-02,4.8106656,4.4654269,-3.23E-01,9.67E+04,1.7783756,4.02E-01,6
3.00E-02,4.36E+19,3.76E+19,2.01E+03,2.23E+03,5.88E+03,1.60E+18,2.50E-02,3.7922156,3.5387446,-5.58E-01,9.67E+04,1.6736914,4.08E-01,6
3.50E-02,4.36E+19,3.76E+19,2.00E+03,2.23E+03,6.37E+03,1.60E+18,2.50E-02,3.1245048,2.9296896,-8.87E-01,9.67E+04,1.6007258,4.15E-01,6
4.00E-02,4.35E+19,3.75E+19,2.00E+03,2.23E+03,6.88E+03,1.60E+18,2.50E-02,2.6603098,2.5085093,-1.32E+00,9.67E+04,1.5525944,4.22E-01,6
4.50E-02,4.35E+19,3.74E+19,2.00E+03,2.23E+03,7.40E+03,1.60E+18,2.50E-02,2.3247349,2.203799,-1.88E+00,9.67E+04,1.5216836,4.30E-01,6
5.00E-02,4.34E+19,3.74E+19,2.00E+03,2.23E+03,7.93E+03,1.60E+18,2.50E-02,2.0758843,1.9781849,-2.59E+00,9.67E+04,1.5058626,4.38E-01,6
5.50E-02,4.34E+19,3.73E+19,2.00E+03,2.22E+03,8.46E+03,1.60E+18,2.50E-02,1.8895478,1.8094799,-3.44E+00,9.67E+04,1.5049387,4.46E-01,6
6.00E-02,4.33E+19,3.72E+19,1.99E+03,2.22E+03,9.00E+03,1.60E+18,2.50E-02,1.7465813,1.6816146,-4.47E+00,9.67E+04,1.5154994,4.53E-01,6
6.50E-02,4.33E+19,3.72E+19,1.99E+03,2.22E+03,9.54E+03,1.60E+18,2.50E-02,1.6387767,1.5865262,-5.68E+00,9.67E+04,1.5400355,4.59E-01,6
7.00E-02,4.32E+19,3.71E+19,1.99E+03,2.21E+03,1.01E+04,1.60E+18,2.50E-02,1.5596844,1.5179364,-7.09E+00,9.67E+04,1.5781829,4.65E-01,6
7.50E-02,4.31E+19,3.71E+19,1.98E+03,2.21E+03,1.06E+04,1.60E+18,2.50E-02,1.5026122,1.4703701,-8.73E+00,9.67E+04,1.6302036,4.71E-01,6
8.00E-02,4.30E+19,3.70E+19,1.98E+03,2.21E+03,1.12E+04,1.60E+18,2.50E-02,1.4674054,1.4437904,-1.06E+01,9.66E+04,1.700295,4.76E-01,6
8.50E-02,4.30E+19,3.69E+19,1.98E+03,2.20E+03,1.18E+04,1.60E+18,2.50E-02,1.4510731,1.4352951,-1.27E+01,9.66E+04,1.7901139,4.82E-01,6
9.00E-02,4.29E+19,3.69E+19,1.97E+03,2.20E+03,1.24E+04,1.59E+18,2.50E-02,1.4524757,1.4444171,-1.51E+01,9.66E+04,1.9019725,4.87E-01,6
9.50E-02,4.28E+19,3.68E+19,1.97E+03,2.19E+03,1.31E+04,1.59E+18,2.50E-02,1.4666381,1.4670077,-1.77E+01,9.66E+04,2.0346076,4.92E-01,6
1.00E-01,4.27E+19,3.68E+19,1.96E+03,2.19E+03,1.37E+04,1.59E+18,2.50E-02,1.4881207,1.4964833,-2.07E+01,9.65E+04,2.1811724,4.97E-01,6
1.05E-01,4.26E+19,3.67E+19,1.96E+03,2.18E+03,1.44E+04,1.59E+18,2.50E-02,1.5001884,1.5168227,-2.39E+01,9.65E+04,2.3199167,5.02E-01,6
1.10E-01,4.25E+19,3.67E+19,1.95E+03,2.18E+03,1.52E+04,1.59E+18,2.50E-02,1.4690269,1.493717,-2.75E+01,9.65E+04,2.3933017,5.07E-01,6
1.15E-01,4.24E+19,3.66E+19,1.95E+03,2.17E+03,1.59E+04,1.59E+18,2.50E-02,1.3753698,1.4062659,-3.15E+01,9.65E+04,2.3561008,5.12E-01,6
1.20E-01,4.23E+19,3.65E+19,1.94E+03,2.16E+03,1.66E+04,1.59E+18,2.50E-02,1.2552536,1.2908193,-3.57E+01,9.64E+04,2.2595792,5.17E-01,6
1.25E-01,4.22E+19,3.65E+19,1.94E+03,2.16E+03,1.72E+04,1.59E+18,2.50E-02,1.1577482,1.1971914,-4.04E+01,9.64E+04,2.1871548,5.22E-01,6
1.30E-01,4.21E+19,3.64E+19,1.93E+03,2.15E+03,1.78E+04,1.59E+18,2.50E-02,1.0870603,1.1305527,-4.54E+01,9.63E+04,2.1584404,5.27E-01,6
1.35E-01,4.20E+19,3.64E+19,1.93E+03,2.14E+03,1.83E+04,1.58E+18,2.50E-02,1.0330681,1.080815,-5.09E+01,9.63E+04,2.1631572,5.32E-01,6
1.40E-01,4.19E+19,3.63E+19,1.92E+03,2.14E+03,1.89E+04,1.58E+18,2.50E-02,0.99886268,1.0507954,-5.68E+01,9.62E+04,2.2121286,5.37E-01,6
1.45E-01,4.18E+19,3.63E+19,1.91E+03,2.13E+03,1.94E+04,1.58E+18,2.50E-02,0.97611803,1.0330457,-6.31E+01,9.62E+04,2.2979684,5.42E-01,6
1.50E-01,4.16E+19,3.62E+19,1.91E+03,2.12E+03,2.00E+04,1.58E+18,2.50E-02,0.95668542,1.0183603,-6.98E+01,9.61E+04,2.4029093,5.47E-01,6
1.55E-01,4.15E+19,3.62E+19,1.90E+03,2.12E+03,2.05E+04,1.58E+18,2.50E-02,0.93355161,0.99953818,-7.70E+01,9.60E+04,2.5171397,5.52E-01,6
1.60E-01,4.14E+19,3.61E+19,1.89E+03,2.11E+03,2.11E+04,1.58E+18,2.50E-02,0.90712434,0.97712876,-8.47E+01,9.60E+04,2.6403742,5.57E-01,6
1.65E-01,4.13E+19,3.61E+19,1.89E+03,2.10E+03,2.16E+04,1.58E+18,2.50E-02,0.874861,0.94805778,-9.29E+01,9.59E+04,2.7678728,5.62E-01,6
1.70E-01,4.12E+19,3.60E+19,1.88E+03,2.09E+03,2.21E+04,1.57E+18,2.50E-02,0.84363258,0.91976151,-1.02E+02,9.58E+04,2.9066272,5.67E-01,6
1.75E-01,4.10E+19,3.60E+19,1.87E+03,2.08E+03,2.26E+04,1.57E+18,2.50E-02,0.81508076,0.89419598,-1.11E+02,9.57E+04,2.9885871,5.72E-01,6
1.80E-01,4.09E+19,3.59E+19,1.87E+03,2.07E+03,2.31E+04,1.57E+18,2.50E-02,0.79044545,0.87235038,-1.21E+02,9.56E+04,2.9939473,5.78E-01,6
1.85E-01,4.08E+19,3.59E+19,1.86E+03,2.07E+03,2.36E+04,1.57E+18,2.50E-02,0.76812464,0.85309493,-1.31E+02,9.55E+04,2.9203897,5.83E-01,6
1.90E-01,4.07E+19,3.59E+19,1.85E+03,2.06E+03,2.41E+04,1.57E+18,2.50E-02,0.74752384,0.835369,-1.42E+02,9.54E+04,2.7742603,5.88E-01,6
1.95E-01,4.05E+19,3.58E+19,1.84E+03,2.05E+03,2.45E+04,1.57E+18,2.50E-02,0.72782469,0.81854661,-1.53E+02,9.53E+04,2.5752738,5.94E-01,6
2.00E-01,4.04E+19,3.58E+19,1.84E+03,2.04E+03,2.50E+04,1.57E+18,2.50E-02,0.70820093,0.80162083,-1.65E+02,9.52E+04,2.3463633,5.99E-01,6
2.05E-01,4.03E+19,3.57E+19,1.83E+03,2.03E+03,2.54E+04,1.57E+18,2.50E-02,0.68910652,0.78496269,-1.78E+02,9.51E+04,2.1085191,6.05E-01,6
2.10E-01,4.01E+19,3.56E+19,1.82E+03,2.02E+03,2.58E+04,1.56E+18,2.50E-02,0.67074668,0.76899019,-1.92E+02,9.50E+04,1.897714,6.10E-01,6
2.15E-01,4.00E+19,3.56E+19,1.81E+03,2.01E+03,2.62E+04,1.56E+18,2.50E-02,0.65320855,0.75386633,-2.06E+02,9.48E+04,1.729349,6.16E-01,6
