rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
1.95E-01,7.96E+19,5.91E+19,1782.6709,2187.8282,26909.283,1.96E+19,0.025,0.67747515,1.2030653,-41.60557,187261.39,0.563398
2.00E-01,7.91E+19,5.88E+19,1777.8015,2177.3615,27427.141,1.94E+19,0.025,0.66419274,1.172461,-44.888797,186549.25,0.54780871
2.05E-01,7.87E+19,5.84E+19,1772.9336,2166.8774,27933.664,1.93E+19,0.025,0.65156937,1.1437366,-48.340346,185825.18,0.53316289
2.10E-01,7.82E+19,5.81E+19,1767.9868,2156.2068,28428.854,1.91E+19,0.025,0.63870865,1.1148919,-51.964441,185086.73,0.5187217
2.15E-01,7.77E+19,5.77E+19,1762.9077,2145.3555,28912.264,1.90E+19,0.025,0.62582302,1.0868722,-55.765295,184334.59,0.50470114
2.20E-01,7.72E+19,5.73E+19,1757.6991,2134.3294,29383.415,1.89E+19,0.025,0.61296916,1.0592649,-59.747102,183569.46,0.49084795
2.25E-01,7.67E+19,5.70E+19,1752.3635,2123.161,29843.723,1.88E+19,0.025,0.6006918,1.0332054,-63.914073,182792.03,0.47789237
2.30E-01,7.62E+19,5.66E+19,1746.9035,2111.9285,30287.489,1.87E+19,0.025,0.58896047,1.0086844,-68.270437,182012.99,0.46561247
2.35E-01,7.57E+19,5.62E+19,1741.3217,2100.5253,30719.637,1.86E+19,0.025,0.57768124,0.98507595,-72.82037,181222.45,0.45385194
2.40E-01,7.52E+19,5.58E+19,1735.6207,2088.9563,31140.65,1.85E+19,0.025,0.56668335,0.96250445,-77.567969,180419.89,0.44259962
2.45E-01,7.47E+19,5.54E+19,1729.9447,2077.2261,31550.407,1.84E+19,0.025,0.55599087,0.94069864,-82.517638,179605.97,0.43172246
2.50E-01,7.42E+19,5.50E+19,1724.1438,2065.4185,31948.305,1.83E+19,0.025,0.54552382,0.91972217,-87.673573,178781.37,0.42131451
2.55E-01,7.37E+19,5.46E+19,1718.2207,2053.4843,32331.791,1.82E+19,0.025,0.53525645,0.89926671,-93.039926,177951.2,0.41126072
2.60E-01,7.32E+19,5.42E+19,1712.178,2041.3928,32701.424,1.81E+19,0.025,0.52557737,0.88013374,-98.620906,177114.98,0.4019348
2.65E-01,7.27E+19,5.37E+19,1706.0185,2029.1489,33059.437,1.81E+19,0.025,0.51598096,0.86139222,-104.42072,176268.54,0.39286214
2.70E-01,7.22E+19,5.33E+19,1699.7446,2016.8069,33405.3,1.80E+19,0.025,0.5066883,0.84339317,-110.44362,175412.54,0.38410342
2.75E-01,7.17E+19,5.29E+19,1693.3952,2004.3643,33739.613,1.79E+19,0.025,0.49757698,0.82603185,-116.69373,174547.63,0.37557751
2.80E-01,7.12E+19,5.24E+19,1687.015,1991.7738,34061.092,1.79E+19,0.025,0.48887217,0.80941296,-123.1753,173677.21,0.36738834
2.85E-01,7.07E+19,5.20E+19,1680.5192,1979.0405,34368.626,1.79E+19,0.025,0.48013094,0.79300722,-129.89254,172802.32,0.35929036
2.90E-01,7.02E+19,5.15E+19,1673.9106,1966.2184,34664.192,1.78E+19,0.025,0.47178841,0.77741089,-136.84965,171919.08,0.3515695
