rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
8.55E-01,5.57E+19,3.85E+19,682.86768,742.07605,20226.185,1.69E+19,0.025,0.1536586,0.18001258,-3353.7203,87771.278,-0.36063954
8.60E-01,5.57E+19,3.87E+19,675.95631,733.17842,19805.428,1.67E+19,0.025,0.14980556,0.17981707,-3391.9155,86811.541,-0.34948471
8.65E-01,5.56E+19,3.90E+19,669.17212,724.23366,19328.133,1.65E+19,0.025,0.14593516,0.17960304,-3428.1255,85775.137,-0.33881426
8.70E-01,5.56E+19,3.92E+19,662.48184,715.2334,18857.456,1.63E+19,0.025,0.14220351,0.17954379,-3462.9434,84638.341,-0.3288781
8.75E-01,5.55E+19,3.95E+19,655.92775,706.1861,18329.563,1.60E+19,0.025,0.13842435,0.17937015,-3495.778,83408.57,-0.3192831
8.80E-01,5.54E+19,3.97E+19,649.47884,697.0838,17755.144,1.57E+19,0.025,0.13479313,0.17928293,-3526.5747,82056.779,-0.30779317
8.85E-01,5.54E+19,3.99E+19,643.14067,687.93426,17121.723,1.54E+19,0.025,0.1311805,0.17902802,-3552.9422,80581.195,-0.29121473
8.90E-01,5.53E+19,4.01E+19,636.91218,678.73167,16395.922,1.51E+19,0.025,0.12757163,0.1784218,-3578.4226,78975.141,-0.27115735
8.95E-01,5.52E+19,4.04E+19,630.76949,669.47966,15576.171,1.47E+19,0.025,0.12402847,0.17732629,-3607.9983,77220.64,-0.2493328
9.00E-01,5.51E+19,4.07E+19,624.68917,660.17821,14645.125,1.43E+19,0.025,0.12051716,0.17533364,-3641.6995,75314.419,-0.22722316
9.05E-01,5.49E+19,4.10E+19,618.63074,650.82402,13600.793,1.38E+19,0.025,0.11697938,0.17185922,-3688.6499,73271.91,-0.20564753
9.10E-01,5.47E+19,4.14E+19,612.57507,641.42398,12401.694,1.33E+19,0.025,0.1135817,0.1664525,-3754.9668,71119.602,-0.18571684
9.15E-01,5.45E+19,4.18E+19,606.29122,631.96945,11006.518,1.26E+19,0.025,0.11016729,0.15805767,-3849.1251,68882.713,-0.16967906
9.20E-01,5.42E+19,4.22E+19,599.87883,622.47072,9351.12,1.19E+19,0.025,0.10685559,0.14610164,-3977.1845,66588.443,-0.15761654
9.25E-01,5.38E+19,4.27E+19,592.80014,612.91955,7374.6548,1.11E+19,0.025,0.103655,0.13025566,-4146.0656,64259.955,-0.14850833
9.30E-01,5.33E+19,4.31E+19,585.01595,603.31903,5050.4355,1.01E+19,0.025,0.10054491,0.11104918,-4363.0019,61923.759,-0.1505066
9.35E-01,5.26E+19,4.36E+19,575.73627,593.67232,2318.9893,9.03E+18,0.025,0.097266443,0.089854626,-4634.8361,59604.728,-0.17649698
9.40E-01,5.17E+19,4.39E+19,564.34535,583.97345,-723.01513,7.84E+18,0.025,0.093767822,0.069026725,-4968.2314,57329.331,-0.33723775
9.45E-01,5.05E+19,4.39E+19,549.81531,574.22829,-3962.8518,6.60E+18,0.025,0.090491325,0.050971692,-5370.2567,55121.942,0.44561496
9.50E-01,4.89E+19,4.35E+19,530.65475,564.4352,-7405.8719,5.38E+18,0.025,0.087275088,0.03657441,-5848.005,53009.284,0.097139843
9.55E-01,4.67E+19,4.25E+19,505.20302,554.59162,-10864.679,4.24E+18,0.025,0.084642619,0.026066409,-6407.8077,51005.595,0.045758404
9.60E-01,4.39E+19,4.07E+19,471.77339,544.7015,-13940.132,3.24E+18,0.025,0.08241047,0.018726148,-7057.1164,49082.985,0.026787635
9.65E-01,4.03E+19,3.79E+19,429.47346,534.76469,-16203.407,2.42E+18,0.025,0.079873256,0.013664759,-7797.2605,47203.495,0.017510707
9.70E-01,3.61E+19,3.43E+19,378.76794,524.77863,-18109.6,1.80E+18,0.025,0.076563649,0.010217413,-8520.128,45327.858,0.012374905
9.75E-01,3.13E+19,2.99E+19,322.43277,514.74457,-19184.095,1.34E+18,0.025,0.072583608,0.007927939,-9028.9875,43417.484,0.009275496
9.80E-01,2.63E+19,2.52E+19,265.08076,504.66495,-19633.743,1.01E+18,0.025,0.068242855,0.006458455,-9085.009,41434.173,0.00734215
9.85E-01,2.14E+19,2.07E+19,211.75854,494.53861,-18684.9,7.74E+17,0.025,0.063696004,0.005552319,-8508.34,39339.109,0.006129254
9.90E-01,1.71E+19,1.65E+19,166.18656,484.36449,-16418.957,6.04E+17,0.025,0.059161372,0.005049077,-7074.9933,37093.102,0.005402955
9.95E-01,1.36E+19,1.31E+19,129.87616,474.14294,-12624.611,4.80E+17,0.025,0.054563403,0.00483051,-4579.2309,34659.808,0.005012417
1.00E+00,1.08E+19,1.04E+19,102.41394,463.87507,-6806.8943,3.88E+17,0.025,0.051731229,0.004957253,-809.54235,31997.304,0.005009301
