rhor,gammahat,xni,xnuc12,xnuc21,rminor,exlti,torvhat,vthexp,vpold,vtord,xmomtor1,xnuati,nudrag,vtordhat,xnC,yy1,yy2,y11,y22,exne,xte,zbar2,qhatheati,forbl,eorbl,xti,xnion,bthet,gamion,xmomtor2,gamC,torv
0.946,7.66E+19,4.91E+19,1.94E+03,7.75E+04,8.34E-01,1.56E-01,2.11E+04,-3025.645,-2.51E+03,2.69E+04,7.22E-02,3.80E-01,0.00E+00,1.27E+04,1.23E+18,14231.88,34.43992,3.389427,4.83E-02,5.65E+19,562.8281,5.918057,3.82E+04,4.56E-02,9.55E-02,700.4628,4.91E+19,1.53E-01,8.08E+19,1.81E-03,0.00E+00,21116.49
0.952,8.21E+19,4.69E+19,1.99E+03,7.92E+04,8.34E-01,1.39E-01,2.04E+04,-3296.104,-1.23E+03,2.68E+04,6.83E-02,1.10E+00,0.00E+00,1.17E+04,1.17E+18,15147.98,54.54316,3.587455,4.59E-02,5.40E+19,529.2988,5.885825,3.67E+04,5.40E-02,1.12E-01,668.0598,4.69E+19,1.53E-01,8.75E+19,1.71E-03,0.00E+00,20454.96
0.958,8.89E+19,4.42E+19,2.02E+03,8.05E+04,8.34E-01,1.23E-01,1.97E+04,-3888.341,1.74E+02,2.69E+04,6.37E-02,3.08E+00,0.00E+00,1.11E+04,1.10E+18,15778.99,81.41363,3.829333,4.29E-02,5.08E+19,490.4221,5.843407,3.49E+04,6.48E-02,1.35E-01,633.9988,4.42E+19,1.53E-01,9.59E+19,1.59E-03,0.00E+00,19818.8
0.964,9.67E+19,4.09E+19,2.03E+03,8.10E+04,8.34E-01,1.06E-01,1.91E+04,-4380.134,1.97E+03,2.73E+04,5.82E-02,8.22E+00,0.00E+00,1.14E+04,1.02E+18,15918.29,113.9465,4.111468,3.93E-02,4.71E+19,444.5784,5.782217,3.27E+04,7.95E-02,1.64E-01,598.1965,4.09E+19,1.53E-01,1.06E+20,1.45E-03,0.00E+00,19208.62
0.97,1.05E+20,3.70E+19,2.02E+03,8.06E+04,8.34E-01,8.83E-02,1.85E+04,-4824.312,4.45E+03,2.81E+04,5.17E-02,2.07E+01,0.00E+00,1.28E+04,9.26E+17,15323.61,151.8925,4.414625,3.50E-02,4.26E+19,390.0973,5.682063,3.00E+04,1.01E-01,2.05E-01,560.5697,3.70E+19,1.53E-01,1.19E+20,1.29E-03,0.00E+00,18625.04
0.976,1.13E+20,3.25E+19,1.97E+03,7.87E+04,8.34E-01,7.01E-02,1.79E+04,-5268.489,7.79E+03,2.93E+04,4.40E-02,4.90E+01,0.00E+00,1.56E+04,8.12E+17,13653.68,207.8395,4.691085,2.95E-02,3.74E+19,325.3085,5.463747,2.67E+04,1.34E-01,2.59E-01,521.0353,3.25E+19,1.53E-01,1.33E+20,1.10E-03,0.00E+00,18068.66
0.982,1.18E+20,2.73E+19,1.87E+03,7.46E+04,8.34E-01,5.10E-02,1.72E+04,-5896.815,1.17E+04,3.05E+04,3.49E-02,1.07E+02,0.00E+00,1.98E+04,6.82E+17,10658.09,372.3153,4.837655,2.26E-02,3.14E+19,248.6889,4.972892,2.30E+04,1.90E-01,3.31E-01,479.5101,2.73E+19,1.53E-01,1.50E+20,8.72E-04,0.00E+00,17540.11
0.988,1.16E+20,2.13E+19,1.69E+03,6.72E+04,8.34E-01,3.27E-02,1.60E+04,-6883.877,1.50E+04,3.13E+04,2.49E-02,2.13E+02,0.00E+00,2.50E+04,5.33E+17,6219.645,1052.646,4.714695,1.54E-02,2.45E+19,167.2092,4.342384,1.93E+04,2.80E-01,4.16E-01,435.9108,2.13E+19,1.53E-01,1.67E+20,6.23E-04,0.00E+00,17039.99
0.994,1.06E+20,1.46E+19,1.36E+03,5.43E+04,8.34E-01,1.88E-02,1.39E+04,-3789.644,1.61E+04,3.12E+04,1.48E-02,3.78E+02,0.00E+00,2.96E+04,3.64E+17,1606.798,2654.427,4.27E+00,9.65E-03,1.67E+19,100.7994,3.980273,1.68E+04,4.08E-01,4.83E-01,390.1543,1.46E+19,1.53E-01,1.83E+20,3.70E-04,0.00E+00,16568.91
1,0.00E+00,6.99E+18,8.05E+02,3.21E+04,8.34E-01,1.25E-02,1.61E+04,1318.4,2.15E+04,2.98E+04,2.94E-03,2.28E+02,0.00E+00,2.98E+04,1.75E+17,0.00E+00,0.00E+00,4.77E-02,4.43E-03,8.04E+18,70.48123,3.898068,0.00E+00,4.08E-01,0.00E+00,342.1574,6.99E+18,1.53E-01,1.86E+20,7.34E-05,0.00E+00,16127.48
