rhor,xne,xni,xte,xti,xer,fracz,exlti,exlte,vtorC,vpolC,fz1,exlni
6.35E-01,6.60E+19,4.75E+19,1497.7387,1768.2117,59642.563,0.025,0.20471345,0.22108402,161133.47,-1392.1177,1.72E+19,0.59944159
6.40E-01,6.59E+19,4.73E+19,1481.3531,1747.3595,59067.715,0.025,0.20294887,0.21852132,159640.06,-1425.2621,1.73E+19,0.5920732
6.45E-01,6.58E+19,4.72E+19,1465.0655,1726.7181,58494.972,0.025,0.20146205,0.21612752,158162.25,-1458.9281,1.74E+19,0.58545083
6.50E-01,6.57E+19,4.70E+19,1448.8746,1706.2975,57935.116,0.025,0.2000909,0.21372675,156700.44,-1493.1206,1.76E+19,0.57915998
6.55E-01,6.56E+19,4.68E+19,1432.7792,1686.1078,57361.37,0.025,0.19878031,0.21126377,155255.05,-1527.8428,1.77E+19,0.5729686
6.60E-01,6.55E+19,4.66E+19,1416.7777,1666.1582,56806.503,0.025,0.19767785,0.20886379,153826.52,-1563.0997,1.79E+19,0.56733674
6.65E-01,6.54E+19,4.64E+19,1400.8692,1646.4595,56249.996,0.025,0.19664602,0.20641662,152415.3,-1598.8945,1.81E+19,0.5619604
6.70E-01,6.53E+19,4.62E+19,1385.0518,1627.0213,55689.415,0.025,0.19566341,0.20386771,151021.76,-1635.2315,1.82E+19,0.55659819
6.75E-01,6.52E+19,4.60E+19,1369.3238,1607.8539,55143.89,0.025,0.19501741,0.20150835,149646.33,-1672.115,1.84E+19,0.55203706
6.80E-01,6.51E+19,4.58E+19,1353.6835,1588.9671,54601.307,0.025,0.19435629,0.19898106,148289.49,-1709.549,1.85E+19,0.54753697
6.85E-01,6.50E+19,4.56E+19,1338.1291,1570.3706,54050.514,0.025,0.19386335,0.19645295,146951.64,-1747.5379,1.87E+19,0.54316634
6.90E-01,6.49E+19,4.54E+19,1322.6584,1552.0746,53524.849,0.025,0.19358438,0.19397441,145633.18,-1786.0848,1.89E+19,0.53930146
6.95E-01,6.48E+19,4.52E+19,1307.2695,1534.0892,52988.617,0.025,0.19345959,0.19148384,144334.52,-1825.1947,1.90E+19,0.5358479
7.00E-01,6.48E+19,4.50E+19,1291.96,1516.4138,52457.657,0.025,0.1931776,0.18889167,143055.04,-1864.8714,1.92E+19,0.53231734
7.05E-01,6.47E+19,4.49E+19,1276.7278,1499.0321,51940.296,0.025,0.19272341,0.18625481,141792.31,-1905.1192,1.94E+19,0.52910602
7.10E-01,6.46E+19,4.47E+19,1261.5702,1481.9249,51420.319,0.025,0.1922068,0.18369813,140543.67,-1945.9416,1.96E+19,0.52647144
7.15E-01,6.45E+19,4.45E+19,1246.4849,1465.0738,50899.99,0.025,0.19143763,0.1810508,139306.53,-1987.3433,1.97E+19,0.52385277
7.20E-01,6.45E+19,4.43E+19,1231.469,1448.4603,50392.704,0.025,0.19060877,0.17848713,138078.23,-2029.3286,1.99E+19,0.5218429
7.25E-01,6.44E+19,4.41E+19,1216.5201,1432.0658,49879.082,0.025,0.18947518,0.17579487,136856.2,-2071.9004,2.01E+19,0.51982766
7.30E-01,6.44E+19,4.39E+19,1201.6351,1415.872,49367.245,0.025,0.18821055,0.1731286,135637.76,-2115.0639,2.03E+19,0.51855469
7.35E-01,6.43E+19,4.37E+19,1186.8111,1399.8597,48856.838,0.025,0.18667819,0.17039382,134420.33,-2158.8221,2.05E+19,0.51851493
7.40E-01,6.43E+19,4.36E+19,1172.0451,1384.0107,48343.185,0.025,0.18511365,0.16777642,133201.26,-2203.1803,2.07E+19,0.52043676
7.45E-01,6.42E+19,4.34E+19,1157.3338,1368.3065,47826.21,0.025,0.18314819,0.16496569,131977.97,-2248.1418,2.09E+19,0.5234946
7.50E-01,6.42E+19,4.32E+19,1142.674,1352.7279,47306.248,0.025,0.18097553,0.16213476,130747.8,-2293.7105,2.10E+19,0.52825415
7.55E-01,6.42E+19,4.31E+19,1128.0622,1337.257,46783.836,0.025,0.17868865,0.1593591,129508.1,-2339.8912,2.12E+19,0.53520012
7.60E-01,6.42E+19,4.29E+19,1113.495,1321.8749,46249.855,0.025,0.17623089,0.15659364,128256.32,-2386.6878,2.14E+19,0.54433662
7.65E-01,6.42E+19,4.27E+19,1098.9687,1306.5628,45715.107,0.025,0.17361701,0.15384628,126989.78,-2434.1037,2.16E+19,0.55608875
