rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
0.00E+00,4.41E+19,3.91E+19,1.82E+03,2.20E+03,3.30E+03,1.47E+18,2.50E-02,-507.53836,-569.08166,0.00E+00,9.00E+04,31.836733,3.67E-01,6
5.00E-03,4.41E+19,3.90E+19,1.82E+03,2.20E+03,3.61E+03,1.47E+18,2.50E-02,31.649469,35.625605,-1.61E-03,9.00E+04,3.6797502,3.67E-01,6
1.00E-02,4.41E+19,3.90E+19,1.82E+03,2.20E+03,3.99E+03,1.47E+18,2.50E-02,11.63633,13.122945,-1.29E-02,9.00E+04,2.716357,3.67E-01,6
1.50E-02,4.41E+19,3.89E+19,1.82E+03,2.20E+03,4.42E+03,1.47E+18,2.50E-02,6.558188,7.440777,-4.35E-02,9.00E+04,2.3151398,3.68E-01,6
2.00E-02,4.40E+19,3.89E+19,1.82E+03,2.20E+03,4.89E+03,1.47E+18,2.50E-02,4.4179735,5.030872,-1.03E-01,9.00E+04,2.0884764,3.70E-01,6
2.50E-02,4.40E+19,3.88E+19,1.82E+03,2.19E+03,5.38E+03,1.47E+18,2.50E-02,3.2832408,3.7540694,-2.01E-01,9.00E+04,1.9409609,3.74E-01,6
3.00E-02,4.40E+19,3.88E+19,1.82E+03,2.19E+03,5.89E+03,1.47E+18,2.50E-02,2.598084,2.9837459,-3.48E-01,9.00E+04,1.8361341,3.79E-01,6
3.50E-02,4.39E+19,3.87E+19,1.81E+03,2.19E+03,6.41E+03,1.47E+18,2.50E-02,2.1507759,2.4807151,-5.52E-01,9.00E+04,1.7579597,3.85E-01,6
4.00E-02,4.39E+19,3.86E+19,1.81E+03,2.19E+03,6.95E+03,1.47E+18,2.50E-02,1.8413755,2.1316832,-8.24E-01,9.00E+04,1.6972486,3.93E-01,6
4.50E-02,4.38E+19,3.86E+19,1.81E+03,2.18E+03,7.49E+03,1.47E+18,2.50E-02,1.6174856,1.880742,-1.17E+00,9.00E+04,1.6492115,4.00E-01,6
5.00E-02,4.38E+19,3.85E+19,1.81E+03,2.18E+03,8.04E+03,1.47E+18,2.50E-02,1.4528426,1.6961674,-1.61E+00,9.00E+04,1.6103488,4.08E-01,6
5.50E-02,4.37E+19,3.85E+19,1.81E+03,2.18E+03,8.60E+03,1.47E+18,2.50E-02,1.3284433,1.5583727,-2.14E+00,9.00E+04,1.5806668,4.14E-01,6
6.00E-02,4.37E+19,3.84E+19,1.80E+03,2.17E+03,9.15E+03,1.47E+18,2.50E-02,1.2366385,1.4561193,-2.78E+00,9.00E+04,1.5582025,4.21E-01,6
6.50E-02,4.36E+19,3.84E+19,1.80E+03,2.17E+03,9.71E+03,1.47E+18,2.50E-02,1.1685497,1.3823637,-3.54E+00,9.00E+04,1.5443286,4.27E-01,6
7.00E-02,4.35E+19,3.83E+19,1.80E+03,2.16E+03,1.03E+04,1.47E+18,2.50E-02,1.1195201,1.3300583,-4.42E+00,9.00E+04,1.5373287,4.32E-01,6
7.50E-02,4.34E+19,3.82E+19,1.79E+03,2.16E+03,1.08E+04,1.47E+18,2.50E-02,1.0883272,1.2987182,-5.43E+00,9.00E+04,1.5410846,4.38E-01,6
8.00E-02,4.34E+19,3.82E+19,1.79E+03,2.15E+03,1.14E+04,1.47E+18,2.50E-02,1.0724062,1.2853065,-6.59E+00,8.99E+04,1.5537298,4.43E-01,6
8.50E-02,4.33E+19,3.81E+19,1.78E+03,2.15E+03,1.20E+04,1.47E+18,2.50E-02,1.0702157,1.288686,-7.91E+00,8.99E+04,1.5779459,4.49E-01,6
9.00E-02,4.32E+19,3.80E+19,1.78E+03,2.14E+03,1.27E+04,1.47E+18,2.50E-02,1.080424,1.3066533,-9.39E+00,8.99E+04,1.6114733,4.54E-01,6
9.50E-02,4.31E+19,3.79E+19,1.78E+03,2.13E+03,1.34E+04,1.47E+18,2.50E-02,1.0991614,1.3353243,-1.10E+01,8.99E+04,1.650605,4.59E-01,6
1.00E-01,4.30E+19,3.79E+19,1.77E+03,2.13E+03,1.41E+04,1.47E+18,2.50E-02,1.1164542,1.3625598,-1.29E+01,8.99E+04,1.681073,4.64E-01,6
1.05E-01,4.29E+19,3.78E+19,1.77E+03,2.12E+03,1.48E+04,1.47E+18,2.50E-02,1.1095108,1.3604843,-1.49E+01,8.98E+04,1.6687595,4.69E-01,6
1.10E-01,4.28E+19,3.77E+19,1.76E+03,2.11E+03,1.55E+04,1.47E+18,2.50E-02,1.052847,1.2971331,-1.71E+01,8.98E+04,1.5767933,4.74E-01,6
1.15E-01,4.27E+19,3.76E+19,1.76E+03,2.11E+03,1.62E+04,1.47E+18,2.50E-02,0.96543795,1.1950294,-1.96E+01,8.98E+04,1.4354943,4.79E-01,6
