rhor,gammahat,xni,xnuc12,rminor,xnuc21,exlti,torvhat,torv,vpold,vtord,xmomtor1,xnuati,nudrag,vtordhat,xnC,yy1,yy2,y11,y22,xne,xte,zbar2,qhatheati,forbl,eorbl,xti,bthet,gamion,xmomtor2,gamC,gamheati,gamheate,exlte,vpinch4,xlne,Snbi,xnuioni,dlnn_dt,dlnwi_dt,fionb,qnb
9.46E-01,3.46E+19,2.87E+19,510.6778,8.41E-01,20363.55,1.36E-01,13996.11,14100,3.00E+30,22971.02,4.25E-02,9.06E-01,3.00E+30,3.00E+30,7.17E+17,21489.3,103.8937,1.162293,2.82E-02,3.30E+19,992,5.917036,54718.51,6.63E-02,1.40E-01,1250,1.69E-01,7.06E+19,1.06E-03,0.00E+00,81148.17,49292.98,7.69E-02,-16.38443,1.39E-01,5.88E+16,23.13037,0.00E+00,0.00E+00,4.06E-01,125977.4
9.52E-01,3.79E+19,2.86E+19,581.2894,8.46E-01,23178.62,1.29E-01,11255.59,11400,3.00E+30,20283.23,4.17E-02,1.767873,3.00E+30,3.00E+30,7.15E+17,21304.86,144.4058,1.251816,2.81E-02,3.29E+19,988,5.908409,52104.7,7.75E-02,1.62E-01,1138,1.69E-01,7.45E+19,1.04E-03,0.00E+00,81368.51,49660.18,6.95E-02,-24.65192,1.02E-01,5.88E+16,26.46775,0.00E+00,0.00E+00,4.05E-01,123766.3
9.58E-01,4.09E+19,2.82E+19,622.2521,8.51E-01,24811.61,1.21E-01,8860.726,9130,3.00E+30,18408.39,4.04E-02,3.486286,3.00E+30,3.00E+30,7.04E+17,21582.7,269.2743,1.329598,2.76E-02,3.24E+19,920,5.89663,47805.7,1.00E-01,2.02E-01,1073,1.69E-01,7.90E+19,1.01E-03,0.00E+00,81575.31,49987.09,6.21E-02,-34.36823,9.17E-02,-3.58E+15,30.91346,0.00E+00,0.00E+00,3.87E-01,120071.7
9.64E-01,4.42E+19,2.74E+19,718.858,8.56E-01,28662.74,1.15E-01,6876.793,7300,3.00E+30,16201.64,3.81E-02,10.444,3.00E+30,3.00E+30,6.85E+17,20262.13,423.207,1.412168,2.67E-02,3.15E+19,865,5.880908,43980.96,1.25E-01,2.41E-01,950,1.69E-01,8.40E+19,9.54E-04,0.00E+00,81721.15,50286.95,4.73E-02,-48.70465,7.39E-02,-3.58E+15,36.07539,0.00E+00,0.00E+00,3.72E-01,113638.7
9.70E-01,4.67E+19,2.57E+19,789.0015,8.61E-01,31458.72,1.08E-01,5522.838,6350,3.00E+30,14769.93,3.50E-02,20.26532,3.00E+30,3.00E+30,6.41E+17,18122.86,827.1614,1.464544,2.49E-02,2.95E+19,780,5.853243,38935.31,1.68E-01,2.99E-01,850,1.69E-01,8.98E+19,8.74E-04,0.00E+00,81676.54,50541.65,3.99E-02,-61.23977,6.50E-02,-3.58E+15,44.75684,0.00E+00,0.00E+00,3.47E-01,104316.7
9.76E-01,4.88E+19,2.35E+19,914.7374,8.66E-01,36470.52,1.02E-01,4562.807,6160,3.00E+30,13086.18,3.10E-02,37.73831,3.00E+30,3.00E+30,5.87E+17,14352.86,1597.193,1.505355,2.23E-02,2.70E+19,670,5.730738,34210.82,2.23E-01,3.61E-01,720,1.69E-01,9.66E+19,7.76E-04,0.00E+00,81429.76,50743.78,3.70E-02,-69.98128,5.47E-02,-3.58E+15,57.7831,0.00E+00,0.00E+00,3.13E-01,92783.45
9.82E-01,5.05E+19,2.09E+19,1079.912,8.71E-01,43053.93,9.46E-02,3478.787,6700,3.00E+30,10779.97,2.37E-02,66.87526,3.00E+30,3.00E+30,5.22E+17,9181.867,3221.213,1.526682,1.86E-02,2.40E+19,400,5.406939,29869.85,3.01E-01,4.26E-01,590,1.69E-01,1.05E+20,5.93E-04,0.00E+00,80898.31,50916.86,2.96E-02,-68.09527,4.58E-02,-1.51E+17,84.99866,0.00E+00,0.00E+00,2.13E-01,75586.93
9.88E-01,5.09E+19,1.63E+19,1150.186,8.76E-01,45853.67,8.72E-02,2216.027,7800,3.00E+30,7180.206,1.81E-02,110.0939,3.00E+30,3.00E+30,4.07E+17,3675.899,5583.973,1.502903,1.34E-02,1.87E+19,320,4.972932,26758.65,3.98E-01,4.78E-01,475,1.69E-01,1.14E+20,4.52E-04,0.00E+00,80064.08,51107.42,2.22E-02,-86.28242,2.81E-02,-1.51E+17,116.0853,0.00E+00,0.00E+00,1.78E-01,57705.71
9.94E-01,5.17E+19,1.30E+19,1086.207,8.81E-01,43302.52,8.13E-02,6496.772,9200,3.00E+30,8389.874,1.15E-02,167.1347,3.00E+30,3.00E+30,3.26E+17,353.6156,2703.228,1.497889,9.20E-03,1.50E+19,200,4.270815,25501.01,4.83E-01,4.99E-01,425,1.69E-01,1.22E+20,2.88E-04,0.00E+00,79070.13,51287.18,1.33E-02,-84.34043,2.22E-02,-1.51E+17,165.9719,0.00E+00,0.00E+00,1.20E-01,36719.13
1,0.00E+00,6.52E+18,604.4887,8.86E-01,24099.74,7.39E-02,1000,1000,3.00E+30,1044.135,8.82E-03,96.62244,3.00E+30,3.00E+30,1.63E+17,0.00E+00,0.00E+00,5.06E-02,4.48E-03,7.50E+18,91,4.086732,0.00E+00,4.83E-01,0.00E+00,400,1.69E-01,1.32E+20,2.20E-04,0.00E+00,77761.58,51841.05,1.03E-02,-84.60146,1.77E-02,-1.51E+17,395.7047,0.00E+00,0.00E+00,5.98E-02,25730.78
