 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.0090 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .10149E+06 A
 Total NBCD Efficiency     =   .25315E-01 A/W
 Total Beam Beta           =   .13811E-02
 Taus                      =   .19087E-02 s
 Volp                      =   .17457E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .40090E+01
 Lost Power          .00000E+00
 NB driven current   .10149E+06
 NBCD efficiency     .25315E-01
 NBCD gamma          .10757E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .25735E-03 MW
 Total Power to Charged Particles =   .16982E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .22297E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .65812E+01   .52320E+01   .40143E+01
   .02000   .13284E+02   .10568E+02   .81147E+01
   .04000   .87529E+01   .69781E+01   .53698E+01
   .06000   .77266E+01   .61803E+01   .47728E+01
   .08000   .71569E+01   .57504E+01   .44623E+01
   .10000   .67162E+01   .54267E+01   .42367E+01
   .12000   .63205E+01   .51414E+01   .40431E+01
   .14000   .59402E+01   .48694E+01   .38610E+01
   .16000   .55653E+01   .46019E+01   .36829E+01
   .18000   .51939E+01   .43363E+01   .35061E+01
   .20000   .48271E+01   .40724E+01   .33293E+01
   .22000   .44689E+01   .38125E+01   .31540E+01
   .24000   .35491E+01   .30758E+01   .25917E+01
   .26000   .30318E+01   .26666E+01   .22844E+01
   .28000   .26662E+01   .23793E+01   .20709E+01
   .30000   .23807E+01   .21555E+01   .19055E+01
   .32000   .21478E+01   .19728E+01   .17707E+01
   .34000   .19529E+01   .18196E+01   .16577E+01
   .36000   .17876E+01   .16898E+01   .15624E+01
   .38000   .16447E+01   .15769E+01   .14791E+01
   .40000   .15204E+01   .14784E+01   .14062E+01
   .42000   .14116E+01   .13915E+01   .13417E+01
   .44000   .13161E+01   .13150E+01   .12848E+01
   .46000   .12315E+01   .12466E+01   .12336E+01
   .48000   .11564E+01   .11856E+01   .11878E+01
   .50000   .10895E+01   .11313E+01   .11475E+01
   .52000   .10296E+01   .10827E+01   .11115E+01
   .54000   .97542E+00   .10382E+01   .10782E+01
   .56000   .92662E+00   .99799E+00   .10482E+01
   .58000   .88222E+00   .96120E+00   .10207E+01
   .60000   .84148E+00   .92704E+00   .99493E+00
   .62000   .80396E+00   .89536E+00   .97097E+00
   .64000   .76921E+00   .86580E+00   .94856E+00
   .66000   .73658E+00   .83761E+00   .92683E+00
   .68000   .70559E+00   .81017E+00   .90506E+00
   .70000   .67618E+00   .78390E+00   .88412E+00
   .72000   .64754E+00   .75741E+00   .86207E+00
   .74000   .61936E+00   .73036E+00   .83851E+00
   .76000   .59132E+00   .70238E+00   .81306E+00
   .78000   .56313E+00   .67317E+00   .78536E+00
   .80000   .53463E+00   .64240E+00   .75497E+00
   .82000   .50528E+00   .60928E+00   .72083E+00
   .84000   .47511E+00   .57372E+00   .68277E+00
   .86000   .44397E+00   .53527E+00   .64008E+00
   .88000   .41229E+00   .49414E+00   .59304E+00
   .90000   .38130E+00   .44978E+00   .54016E+00
   .92000   .35623E+00   .40379E+00   .48214E+00
   .94000   .29512E+00   .34266E+00   .41272E+00
   .96000   .23122E+00   .26816E+00   .32344E+00
   .98000   .12457E+00   .15020E+00   .18296E+00
  1.00000   .00000E+00   .00000E+00   .00000E+00

 Pitch Angle at Birth
 --------------------------------
 Angle  1
     rho      zeta_1       zeta_2       zeta_3
   .00000   .64264E+00   .64232E+00   .64218E+00
   .01177   .64259E+00   .64222E+00   .64204E+00
   .02354   .64244E+00   .64192E+00   .64163E+00
   .03532   .64219E+00   .64142E+00   .64094E+00
   .04709   .64184E+00   .64072E+00   .63997E+00
   .05886   .64139E+00   .63983E+00   .63875E+00
   .07063   .64084E+00   .63874E+00   .63725E+00
   .08240   .64018E+00   .63745E+00   .63551E+00
   .09418   .63943E+00   .63596E+00   .63351E+00
   .10595   .63857E+00   .63426E+00   .63125E+00
   .11772   .63759E+00   .63236E+00   .62874E+00
